pid    pres found score   err_px  dtheta  dscale% secs  
p001      1     1  0.9182   0.777   0.018   0.000   3.14
p002      1     1  0.9369   0.645   0.041   0.502   1.35
p003      1     1  0.8990   0.484   0.080   0.316   1.65
p004      1     1  0.9602   0.846   0.000   0.193   1.21
p005      1     1  0.9498   0.910   0.015   0.556   1.39
p006      1     1  0.9370   0.493   0.048   0.038   1.56
p007      1     1  0.9181   0.554   0.036   0.025   1.49
p008      1     1  0.9096   0.525   0.083   0.036   1.50
p009      1     1  0.8934   0.522   0.021   0.315   1.54
p010      1     1  0.7268   0.759   0.282   0.135   1.76
p011      1     1  0.5946   0.516   0.044   0.010   1.59
p012      1     1  0.4794   0.787   0.191   0.304   1.72
p013      1     1  0.7394   0.537   0.056   0.000   1.78
p014      1     1  0.5652   1.097   0.094   0.000   1.48
p015      0     0  0.0344     nan     nan     nan   1.69
p016      0     0  0.0610     nan     nan     nan   1.65
p017      0     0  0.0506     nan     nan     nan   1.76
p018      0     0  0.0000     nan     nan     nan   1.90
p019      1     1  0.8641   0.982   0.226   0.190   0.76
p020      1     1  0.9111   1.018   0.230   0.205   1.57

median 1.58s  p90 1.79s  max 3.14s  total 32.5s
