pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,n_hyp_offered,secs
test_A_00000004,A,1,dram_loose,1,683.3873685132343,346.5651969516689,10.859237085884391,0.4689477130765933,683.5534179024398,346.60910227149725,10.82295585551732,0.558523148014469,0.8774455189704895,0.8774455189704895,0.912630021572113,0.7367306897660384,0.912630021572113,255.25972224181814,21158.592183993147,2,2,0.6637518039997303
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127118,92.82327455282211,379.7914522141218,8.160163860280406,3.1637249811658674,0.8676338195800781,0.9393978714942932,0.8676338195800781,0.05620949957047631,0.8676344752311707,1333.41176319953,13458.535937756216,2,2,0.46102745499956654
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.11565436422825,340.9417263045907,8.193790454728102,-1.018466740324052,0.8314352035522461,0.9148504734039307,0.8314352035522461,0.012748291274134705,0.8314375281333923,1895.7991984174928,11121.8091787825,3,3,0.7165511450002668
test_A_00000007,A,4,finfet_10nm,1,63.12915622590532,364.722502437633,9.121909111056205,1.744813398385601,63.043854635208845,364.71006309986115,9.049915673120083,1.675960450675864,0.8064469695091248,0.8064469695091248,0.9383999109268188,0.05297730088873302,0.9417643547058105,1259.3541313770213,22654.995874443142,3,3,0.6786049120000825
test_A_00000008,A,1,finfet_45nm,1,181.439870133784,766.3807063172329,10.941057462512347,2.914540925674692,180.70921359956264,766.3697774410248,10.966424446657125,2.6863871930148893,0.865831196308136,0.865831196308136,0.8868618607521057,0.17726368157149025,0.8868609666824341,802.7071491275353,22346.092162791818,3,3,0.8165421849998893
test_A_00000009,A,2,dram_loose,1,290.2456966432096,761.4746573660807,10.689101802491512,-2.721135639712156,290.3332432806492,761.4751285370439,10.710996027979787,-2.8144956171605964,0.7450037598609924,0.7450037598609924,0.8984453082084656,0.20785158822374974,0.898445725440979,826.3127467796888,26871.58056110182,3,3,0.667054998999447
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8800162672997,105.66803295910358,11.393255184025966,1.1825569283295478,0.8401302695274353,0.9425910711288452,0.8401302695274353,0.07753905956056556,0.8401317000389099,1935.5234015387534,35807.84780638748,2,2,0.5232910590002575
test_A_00000011,A,4,dram_dense,1,926.1110508582492,173.92918778792716,9.641304521681606,0.4205076636848481,925.8674013316631,173.90608259290457,9.518864493840473,0.37802509501023485,0.8123381733894348,0.8123381733894348,0.834030270576477,0.02180548461699377,0.8445744514465332,1034.2024791914848,29524.533976191382,3,3,0.650074424000195
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.38860692083836,335.7414357662201,9.785964761357862,2.093696777320659,0.784974992275238,0.9583544731140137,0.784974992275238,0.022169449520229475,0.7849739193916321,1681.6356804038312,36043.81078409201,3,3,0.8869813199999044
test_A_00000001,A,2,finfet_14nm,1,651.9774825258738,253.07754298844333,8.928853190878932,1.4287922546693146,652.0293028112501,253.0638171583414,8.898625547029415,1.3755405989981215,0.8949201703071594,0.9324523210525513,0.8949201703071594,0.12526143486486857,0.8949202299118042,803.305131936596,19526.48379942919,3,3,0.6149913620001826
