pair_id,set,severity,architecture,gt_found,gt_scale,gt_rot,n_cands,cand_secs,c0_scale,c0_rot,c0_peak,c1_scale,c1_rot,c1_peak,rank_tight,rank_basin,rank_loose,best_s_err,best_r_err,best_rank,c2_scale,c2_rot,c2_peak
test_A_00000000,A,1,finfet_14nm,1,9.75228803210116,1.8522376622030563,3,2.0407313999603502,9.670731976044555,1.8108897008367681,0.7620438933372498,8.129773408334035,1.7420059933395022,0.74876868724823,0,0,0,0.008362761209282317,0.041347961366288155,0,10.988580476870112,1.731165168331791,0.2684861123561859
test_A_00000001,A,2,finfet_14nm,1,8.928853190878932,1.4287922546693146,2,1.2443652999936603,8.910347659586385,1.4349838949990188,0.8949202299118042,10.52567144208435,1.1498878258192433,0.6157773733139038,0,0,0,0.0020725541003911866,0.006191640329704207,0,,,
test_A_00000002,A,3,dram_loose,1,8.024551536067126,1.3227701124613676,3,2.0206561000086367,8.00069407830332,1.326877714157764,0.8827254772186279,9.260125514790245,1.4120226591665967,0.5087284445762634,0,0,0,0.002973058077647759,0.004107601696396346,0,10.722394756667509,2.8085749083480542,0.46259641647338867
test_A_00000003,A,4,dram_1x,1,10.794587300009724,-3.3513437290684367,3,1.867523799999617,8.074746206028015,-3.3268777141577637,0.8501698970794678,10.75219260291607,-3.331018540844619,0.8035553097724915,1,1,1,0.003927403236028815,0.02032518822381757,1,9.748066198751859,-3.4401599283575877,0.2030908465385437
test_A_00000004,A,1,dram_loose,1,10.859237085884391,0.4689477130765933,2,1.2958123999997042,10.869647893543787,0.37152060000560816,0.912630021572113,8.772123736042316,0.41616348585345236,0.9098705649375916,0,0,0,0.0009587052549877858,0.09742711307098512,0,,,
test_A_00000005,A,2,finfet_7nm,1,8.150307194758732,3.1359514213127118,3,1.8025747999781743,8.139061423334176,3.0405020591609886,0.8676339387893677,10.989295787087572,3.2033011233313706,0.43219268321990967,0,0,0,0.0013797972463893092,0.09544936215172317,0,9.707107631041334,3.8054692883329126,0.2954424321651459
test_A_00000006,A,3,dram_wide,1,8.189538182178342,-0.9314495734417888,3,2.0477197999716736,8.196045763020178,-1.0074908258472834,0.8314423561096191,10.987742977080003,-1.25592359331707,0.4680179953575134,0,0,0,0.0007946212224759474,0.07604125240549464,0,11.825659223127087,-0.126926589986821,0.44889697432518005
test_A_00000007,A,4,finfet_10nm,1,9.121909111056205,1.744813398385601,2,1.0026611000066623,9.050825280832841,1.7223947566675077,0.9417643547058105,11.99930592169668,1.6744018716592357,0.5366049408912659,0,0,0,0.007792648376336759,0.022418641718093157,0,,,
test_A_00000008,A,1,finfet_45nm,1,10.941057462512347,2.914540925674692,3,1.7689353000023402,10.977556367503436,2.8446917616769016,0.8868609666824341,8.00069407830332,2.8568121725016122,0.547389030456543,0,0,0,0.0033359577094029015,0.06984916399779051,0,11.76486837573112,3.0229612358324225,0.4332428276538849
test_A_00000009,A,2,dram_loose,1,10.689101802491512,-2.721135639712156,3,2.108172700041905,9.595590356253327,-2.748705991660358,0.9084321856498718,10.73600688271347,-2.74535599249993,0.898445725440979,1,1,1,0.004388121760710021,0.02422035278777379,1,8.24290458791593,-2.7324447541487915,0.2749377489089966
test_A_00000010,A,3,dram_dense,1,11.229161579490906,1.3758330915508434,3,1.9017288000322878,11.467750749167438,1.1540286525060988,0.8400792479515076,10.10184826854729,1.675192699185664,0.578256368637085,-1,-1,0,0.021247282621019024,0.22180443904474467,0,8.491747191671571,1.3235277149973363,0.49144721031188965
test_A_00000011,A,4,dram_dense,1,9.641304521681606,0.4205076636848481,3,1.8841180999879725,9.524833942294242,0.2905164816836312,0.8445744514465332,10.63338220916239,0.11273576581868223,0.24199098348617554,-1,0,0,0.012080375547255294,0.1299911820012169,0,8.00069407830332,0.2809552424929198,0.20454177260398865
test_A_00000012,A,1,dram_loose,1,11.53200815787758,4.159249514126607,3,1.8829731000005268,10.178086189796556,4.143187827498387,0.7895922064781189,11.527026545210315,4.0546928833291265,0.7464471459388733,1,1,1,0.0004319813686450004,0.10455663079748057,1,8.00069407830332,4.22961235832422,0.5956664681434631
test_A_00000013,A,2,dram_1x,1,10.640822675829536,4.8557286517201685,3,1.8924558999715373,10.634737312288353,4.848387901380753,0.8306305408477783,9.61552148937957,3.897314231662601,0.5312545895576477,0,0,0,0.0005718884457125957,0.007340750339415614,0,8.13061090812414,4.456909924159726,0.42322486639022827
test_A_00000014,A,3,dram_1x,1,11.590870097270717,-2.7112620264589404,2,1.2964194000232965,11.634158614166177,-2.7956636699969155,0.805512547492981,9.662601357288775,-2.555210486664984,0.35291171073913574,0,0,0,0.0037347081394392715,0.08440164353797508,0,,,
test_A_00000015,A,4,dram_dense,1,8.992983175052604,0.4560997041897998,3,1.8417115000193007,9.010125514790245,0.31037209750091116,0.8326463103294373,10.349457958749614,0.0087704116642833,0.6463513970375061,0,0,0,0.0019061905714663123,0.14572760668888862,0,11.90434854896035,0.012911238351138908,0.24575258791446686
test_A_00000016,A,1,finfet_45nm,1,9.752670617889244,2.635383065749971,3,1.6667043999768794,9.728713763747793,2.63182939915482,0.8269672393798828,8.00069407830332,2.6338998124982473,0.8279119729995728,0,0,0,0.0024564404028479263,0.003553666595150773,0,11.90434854896035,2.804189702515913,0.6657720804214478
test_A_00000017,A,2,finfet_7nm,1,8.996727499088129,3.885125639779467,3,2.362887100025546,9.010125514790245,3.850112174180757,0.8658758997917175,8.169118071250667,2.79669887666863,0.4733756184577942,0,0,0,0.0014892099047652157,0.03501346559870999,0,11.838654892396386,3.3354037466767608,0.4019167423248291
test_A_00000018,A,3,finfet_22nm,1,8.15953936632283,4.09585474458583,2,1.2263707000529394,11.898090636666385,4.015470409985139,0.9565408825874329,8.197499719586945,4.090565357512688,0.972838819026947,1,1,1,0.0046522666978959645,0.005289387073142748,1,,,
test_A_00000019,A,4,finfet_10nm,1,11.803501922471709,1.9283826108255493,3,1.4379580999957398,9.986844382503575,1.69529269414823,0.7201612591743469,11.774316338958386,1.8088192874933404,0.7208381295204163,1,1,1,0.0024726207277315725,0.11956332333220887,1,8.01120739372564,1.8067488741499125,0.6276630163192749
test_A_00000020,A,1,finfet_22nm,1,9.2281302408799,0.322489735119202,3,2.0753254999872297,9.222973454789686,0.14653782665881535,0.8913339972496033,10.31449850166512,0.03715206000056073,0.5009157657623291,0,0,0,0.0005588115854031514,0.17595190846038664,0,11.929299171913788,1.6666666666666665,0.42836615443229675
test_A_00000021,A,2,finfet_14nm,1,11.151487981040008,-2.256462748738597,2,1.3126255999668501,11.11145618000168,-2.3748705991660355,0.9040884971618652,8.160347659586384,-2.3748705991660355,0.28657642006874084,0,0,0,0.0035898169918122985,0.11840785042743862,0,,,
test_A_00000022,A,3,dram_compact,1,11.686960547436104,-3.123013928966334,3,1.8797914999886416,11.674858380208772,-3.1289970033302485,0.8062241077423096,8.714203043125405,-3.1235765908263935,0.2813064455986023,0,0,0,0.0010355273450450648,0.005983074363914653,0,8.00069407830332,-3.335648125822047,0.29181957244873047
test_A_00000023,A,4,dram_wide,1,10.069488891546886,-2.6875813166715465,3,1.646533699997235,10.091525046875441,-2.702783519995514,0.8324396014213562,11.995242716536483,-4.919786709204451,0.5057392120361328,0,0,0,0.0021884085245929574,0.015202203323967378,0,8.798115074580915,-1.2579940066604978,0.46090036630630493
test_A_00000024,A,1,finfet_45nm,1,11.342611375635292,1.363748849241918,3,1.69937819999177,9.139837828337958,1.385711424173747,0.7699661254882812,11.374611797498105,1.385711424173747,0.7121104001998901,1,1,1,0.0028212570106697175,0.02196257493182885,1,8.00069407830332,1.28095524249292,0.2221187800168991
test_A_00000025,A,2,finfet_10nm,1,11.22409316854937,-0.7693024937758199,2,1.2690670000156388,11.241549484789967,-0.9976852075112863,0.8748040199279785,9.188531601041053,-1.126926589986821,0.5022613406181335,0,0,0,0.0015552540395433567,0.22838271373546637,0,,,
test_A_00000026,A,3,finfet_22nm,1,10.058180132361365,0.1736430972398981,3,1.5457086999667808,10.099777855203866,0.17284906165166503,0.8988596200942993,11.99930592169668,0.0941597358184018,0.5971308350563049,0,0,0,0.004135710664861181,0.0007940355882330719,0,8.00069407830332,-0.16949906249123733,0.41946282982826233
test_A_00000027,A,4,finfet_22nm,1,11.843835896101451,0.6233148599517158,3,1.6730738999904133,11.749482396664142,0.5825569283295479,0.8577401638031006,8.814498501665122,0.4754859541600071,0.8587333559989929,0,0,0,0.007966464603614345,0.0407579316221679,0,10.10184826854729,0.334612919150333,0.2723756730556488
test_A_00000028,A,1,finfet_28nm,1,10.682002580642646,-0.6593740227723268,3,1.634903700032737,10.52567144208435,-0.7595468166680686,0.8982057571411133,11.99930592169668,-0.7946284633252017,0.6166684031486511,-1,0,0,0.014635002882473575,0.10017279389574174,0,8.00069407830332,-0.31244251084433927,0.3070574998855591
test_A_00000029,A,2,dram_dense,1,9.53973899009468,1.3088350504461932,3,1.6734351000050083,8.404668445414597,1.4633655433352963,0.8376117944717407,9.527026545210314,0.8405509349900456,0.822503387928009,1,1,1,0.0013325778511934028,0.46828411545614756,1,11.87564700416982,1.5180584266644237,0.48055046796798706
test_A_00000030,A,3,finfet_28nm,1,9.3069130778194,-3.312436077828273,3,1.9372249000007287,9.36364878291775,-3.6514406358268143,0.8400339484214783,10.41802176979263,-1.707168725827655,0.4657793939113617,0,0,0,0.006096081979487269,0.33900455799854123,0,11.98778624464793,-0.06888370749726613,0.4016614556312561
test_A_00000031,A,4,finfet_10nm,1,9.888273145182742,-0.088255504522138,2,1.1476502000004984,9.95387982145355,0.051342884168699504,0.8994284272193909,11.703042321663442,-0.32687771415776395,0.29134684801101685,0,0,0,0.006634796117335078,0.13959838869083752,0,,,
test_A_00000032,A,1,dram_compact,1,9.477744755882997,-4.489286255264925,2,1.0879036000114866,9.435821394789125,-4.565655897909482,0.9549987316131592,11.99930592169668,-4.42079307083088,0.7939098477363586,0,0,0,0.004423347766128572,0.0763696426445577,0,,,
test_A_00000033,A,2,finfet_7nm,1,9.582058582689609,-4.200814325540076,3,1.8476398999919184,9.464522939579652,-4.394481835838031,0.802587628364563,8.00069407830332,-4.716672274927796,0.5585423707962036,-1,0,0,0.012266220467728057,0.1936675102979546,0,11.994813752554178,-4.327912920829478,0.435402512550354
test_A_00000034,A,3,finfet_7nm,1,10.064514699210084,2.1125397419436838,1,0.7154179000062868,10.08907364229144,2.017540823328566,0.8449047803878784,,,,0,0,0,0.0024401517425657387,0.09499891861511767,0,,,
test_A_00000035,A,4,finfet_45nm,1,8.647673314988971,-2.846525497593957,3,1.938029499957338,8.615003886043718,-2.7466355783169303,0.7268471717834473,11.790281016147542,1.5562456933366982,0.3093661069869995,0,0,0,0.0037778287587052076,0.09988991927702662,0,10.101589466879362,-0.0446428858478442,0.30533409118652344
test_A_00000036,A,1,finfet_14nm,1,9.140199144357982,-2.1111951605859414,2,1.3281260000076145,9.17698988833852,-1.9615683541824391,0.7141119837760925,10.871064091456073,-2.34313895166933,0.6334760785102844,0,0,0,0.004025157811057925,0.14962680640350223,0,,,
test_A_00000037,A,2,dram_wide,1,11.519837279931943,-3.9622378705877415,3,2.109238400007598,11.494259691041895,-3.944027530853873,0.8757349252700806,10.101589466879362,-3.827150938348335,0.8336448669433594,0,0,0,0.002220308175238316,0.01821033973386843,0,8.00069407830332,-4.08849494416926,0.49977973103523254
test_A_00000038,A,3,finfet_28nm,1,9.814587783626758,-2.8305733501431787,3,1.7468287999508902,9.814178605210875,-2.8993846450060285,0.896615743637085,8.13086970979207,-2.9006642308230286,0.8999717235565186,0,0,0,4.1690840706016036e-05,0.06881129486284987,0,11.99930592169668,-3.477556367503435,0.254074364900589
test_A_00000039,A,4,finfet_10nm,1,10.958064310063424,0.7286762563667626,2,1.102492300036829,10.753547706042033,1.0810041183219772,0.7825281620025635,9.174797285422448,1.1431878274983878,0.6427655220031738,-1,0,0,0.0186635703382003,0.3523278619552146,0,,,
test_A_00000040,A,1,dram_wide,1,10.498161100406463,2.618713993363292,1,0.7673104999703355,10.489874485209755,2.5662956908179813,0.9309545755386353,,,,0,0,0,0.0007893396869654607,0.05241830254531088,0,,,
test_A_00000041,A,2,finfet_28nm,1,9.151915024107868,4.92763146594347,3,1.7142591999727301,9.172924578960629,4.86016217166204,0.790225625038147,10.935501498334876,4.99722368678672,0.5837495923042297,0,0,0,0.00229564575254658,0.06746929428143034,0,11.986486727394844,1.7420059933395022,0.21095170080661774
test_A_00000042,A,3,finfet_14nm,1,9.12522406939533,-0.3928038438984593,3,1.909725600038655,9.11255248145972,-0.3005664791649142,0.9016307592391968,11.99930592169668,-0.6906631091708026,0.642158031463623,0,0,0,0.0013886330723767294,0.0922373647335451,0,8.00069407830332,-0.15402865250609873,0.5922678112983704
