pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,n_hyp,secs
test_A_00000012,A,1,dram_loose,1,469.1280778484901,752.4365817740049,11.53200815787758,4.159249514126607,468.92343205958605,752.4330397248268,11.525868079332854,4.176259474659264,0.26944905519485474,0.26944905519485474,0.7110198140144348,0.23862826435842105,0.7464471459388733,3,14.035701345000234
test_A_00000015,A,4,dram_dense,1,621.1156799624005,744.1230792116862,8.992983175052604,0.4560997041897998,619.941126126796,744.0827177986503,8.963733524501183,0.29402464634934455,0.8327354192733765,0.9689120650291443,0.8327354192733765,0.07957031793320807,0.8327366709709167,3,16.614116705000015
test_A_00000018,A,3,finfet_22nm,1,490.46987082901535,873.481143973652,8.15953936632283,4.09585474458583,490.6500945985317,873.4722860530019,8.17624576757064,4.077556367503435,0.37544795870780945,0.37544795870780945,0.9728387594223022,0.2302771373072572,0.972838819026947,2,7.653137323999545
test_A_00000021,A,2,finfet_14nm,1,648.8808650035559,503.5664964661066,11.151487981040008,-2.256462748738597,649.0041645169258,503.5684414803982,11.178108624632705,-2.2078933704978545,0.5657585859298706,0.5657585859298706,0.8961124420166016,0.04170329895508296,0.9040884971618652,2,6.943530381000528
test_A_00000036,A,1,finfet_14nm,1,118.4512145543934,566.7228653288133,9.140199144357982,-2.1111951605859414,118.93024192750454,566.8525992333889,9.17997447258283,-2.0674459561749803,0.6193029880523682,0.6193029880523682,0.7141132950782776,0.06786363422000388,0.7141119837760925,3,16.877719545000218
test_A_00000039,A,4,finfet_10nm,1,908.1111776525807,680.3799397372003,10.958064310063424,0.7286762563667626,907.660864546895,680.4137489870191,10.873364032989116,-0.15722048616124093,0.7155315279960632,0.8546383380889893,0.7155315279960632,0.1352655433096962,0.7969776391983032,2,10.272147298000164
test_A_00000042,A,3,finfet_14nm,1,632.1161351512972,540.4620251603701,9.12522406939533,-0.3928038438984593,631.8143872618675,540.4743686653674,9.12362479565107,-0.46254891601603904,0.8992397785186768,0.8992397785186768,0.9016023278236389,0.024673850596616632,0.9016018509864807,3,11.281422221999492
test_A_00000045,A,2,finfet_7nm,1,600.0022067570972,474.8285662896759,11.120738943884303,1.5748584775242254,599.9793499410152,474.7648466825485,11.127797690012034,1.4974608591497724,0.7561790943145752,0.7561790943145752,0.7698760628700256,0.0767980072249574,0.8581808805465698,2,8.847305322000466
test_A_00000060,A,1,finfet_10nm,1,720.7693030570106,179.7987646919522,10.88653950718082,1.5199883842690074,720.8447493463755,179.9215486869216,10.81604834299946,1.7965895869924013,0.8951660394668579,0.9000399112701416,0.8951660394668579,0.45137599167797116,0.8951647877693176,2,11.085010217999297
test_A_00000063,A,4,finfet_22nm,1,725.1439081185019,109.28689222576428,11.87149781227928,0.4495204305754416,725.1859605908394,109.33907756209373,11.76266066935326,0.19679662832674388,0.6629214286804199,0.6629214286804199,0.8847599029541016,0.02422994854961025,0.8847599625587463,2,10.707965371999308
