pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,n_hyp,secs
test_A_00000004,A,1,dram_loose,1,683.3873685132343,346.5651969516689,10.859237085884391,0.4689477130765933,683.5534179024398,346.60910227149725,10.82295585551732,0.558523148014469,0.776793897151947,0.776793897151947,0.912630021572113,0.6302894262539805,0.912630021572113,2,0.7536892739990435
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127118,92.82327455282211,379.7914522141218,8.160163860280406,3.1637249811658674,0.8676338195800781,0.9391524195671082,0.8676338195800781,0.12546464561650428,0.8676344752311707,2,0.4729091769986553
test_A_00000006,A,3,dram_wide,1,453.3918716405662,340.9236550226419,8.189538182178342,-0.9314495734417888,453.11565436422825,340.9417263045907,8.193790454728102,-1.018466740324052,0.8314352035522461,0.8569352626800537,0.8314352035522461,0.015645340665235305,0.8314375281333923,3,0.6462708520011802
test_A_00000007,A,4,finfet_10nm,1,63.12915622590532,364.722502437633,9.121909111056205,1.744813398385601,63.043854635208845,364.71006309986115,9.049915673120083,1.675960450675864,0.7701265215873718,0.7701265215873718,0.9383999109268188,0.23279438560764187,0.9417643547058105,3,0.5643361369984632
test_A_00000008,A,1,finfet_45nm,1,181.439870133784,766.3807063172329,10.941057462512347,2.914540925674692,180.70921359956264,766.3697774410248,10.966424446657125,2.6863871930148893,0.843239426612854,0.843239426612854,0.8868618607521057,0.02969906257134799,0.8868609666824341,3,0.8957844329997897
test_A_00000009,A,2,dram_loose,1,290.2456966432096,761.4746573660807,10.689101802491512,-2.721135639712156,290.3332432806492,761.4751285370439,10.710996027979787,-2.8144956171605964,0.7582922577857971,0.7582922577857971,0.8984453082084656,0.20041301574991985,0.898445725440979,3,0.6648415230010869
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8800162672997,105.66803295910358,11.393255184025966,1.1825569283295478,0.8401302695274353,0.929880678653717,0.8401302695274353,0.031133090998678337,0.8401317000389099,2,0.4503249780027545
test_A_00000011,A,4,dram_dense,1,926.1110508582492,173.92918778792716,9.641304521681606,0.4205076636848481,925.8674013316631,173.90608259290457,9.518864493840473,0.37802509501023485,0.834030270576477,0.901343047618866,0.834030270576477,0.06670347087067098,0.8445744514465332,3,0.6193368490021385
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.38860692083836,335.7414357662201,9.785964761357862,2.093696777320659,0.784974992275238,0.9558156728744507,0.784974992275238,0.05557997554989964,0.7849739193916321,3,0.9157850650008186
test_A_00000001,A,2,finfet_14nm,1,651.9774825258738,253.07754298844333,8.928853190878932,1.4287922546693146,652.0293028112501,253.0638171583414,8.898625547029415,1.3755405989981215,0.8949201703071594,0.9301623702049255,0.8949201703071594,0.03564690749147658,0.8949202299118042,3,0.6079140030014969
test_A_00000002,A,3,dram_loose,1,860.4907481847265,97.80665154149187,8.024551536067126,1.3227701124613676,860.2109935581684,97.86537007987499,8.0,1.2306964408249912,0.8573912382125854,0.8573912382125854,0.8827244639396667,0.042734765031973695,0.8827267289161682,3,0.5635048149997601
test_A_00000003,A,4,dram_1x,1,357.02879377922767,765.6372523992105,10.794587300009724,-3.3513437290684367,767.7253504991531,137.10823893547058,8.141182450798864,-3.4133626588307675,0.2085312455892563,0.2085312455892563,0.7903463244438171,0.35237920166753667,0.8501698970794678,3,0.6357481929990172
test_A_00000012,A,1,dram_loose,1,469.1280778484901,752.4365817740049,11.53200815787758,4.159249514126607,468.92343205958605,752.4330397248268,11.525868079332854,4.176259474659264,0.5694602131843567,0.5694602131843567,0.7110198140144348,0.14553536560819774,0.7464471459388733,3,0.6407791679994261
test_A_00000013,A,2,dram_1x,1,145.56858378834465,862.0555437082555,10.640822675829536,4.8557286517201685,145.55676278471947,862.029598440975,10.640592511594331,4.892142208044055,0.8306406140327454,0.8640209436416626,0.8306406140327454,0.028177945267292066,0.8306412696838379,3,0.6015361009995104
test_A_00000014,A,3,dram_1x,1,551.3835102500851,88.40184505759987,11.590870097270717,-2.7112620264589404,551.4190156683326,88.4539009295404,11.642823874704073,-2.836530935997532,0.7834214568138123,0.7834214568138123,0.8055128455162048,0.034864773573603826,0.8055142164230347,2,0.4613344749996031
test_A_00000015,A,4,dram_dense,1,621.1156799624005,744.1230792116862,8.992983175052604,0.4560997041897998,619.941126126796,744.0827177986503,8.963733524501183,0.29402464634934455,0.8327354192733765,0.9696996808052063,0.8327354192733765,0.05124711096861667,0.8327366709709167,3,0.6464708169987716
test_A_00000020,A,1,finfet_22nm,1,474.98056671918994,224.49968313492823,9.2281302408799,0.322489735119202,475.078049659729,224.47672924399376,9.219973915551462,0.5512882393305855,0.8237967491149902,0.8237967491149902,0.8913331031799316,0.04890893151415207,0.8913339972496033,3,0.6571705200003635
test_A_00000021,A,2,finfet_14nm,1,648.8808650035559,503.5664964661066,11.151487981040008,-2.256462748738597,649.0041645169258,503.5684414803982,11.178108624632705,-2.2078933704978545,0.5672940015792847,0.5672940015792847,0.8961124420166016,0.026314893627751662,0.9040884971618652,2,0.46386595199874137
test_A_00000022,A,3,dram_compact,1,916.723505353509,712.8271453972657,11.686960547436104,-3.123013928966334,916.8120459616184,712.7875790894032,11.63582132669521,-2.899896479332828,0.793653130531311,0.8634589910507202,0.793653130531311,0.02643499432020487,0.8062241077423096,3,0.6108537740001339
test_A_00000023,A,4,dram_wide,1,455.8040262468808,440.4088965192267,10.069488891546886,-2.6875813166715465,456.25439684093,440.3512981235981,10.102145866353224,-2.84437543066633,0.8324385285377502,0.9190710783004761,0.8324385285377502,0.015615346002199559,0.8324396014213562,2,0.4486025940022955
test_A_00000016,A,1,finfet_45nm,1,843.0669957042647,413.66610795335873,9.752670617889244,2.635383065749971,875.1897577345371,700.059348270297,8.0,2.5156343444994818,0.021781669929623604,0.021781669929623604,0.7874111533164978,0.9292028481406404,0.8279047608375549,3,0.625884673998371
test_A_00000017,A,2,finfet_7nm,1,318.32717113050023,574.8896715625057,8.996727499088129,3.885125639779467,318.10037548840046,574.8549123257399,9.051760039548865,3.788293671843974,0.8658470511436462,0.9126712679862976,0.8658470511436462,0.1340020002503905,0.8658480048179626,3,0.6584550859988667
