pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,n_hyp,secs
test_B_00000000,B,1,finfet_28nm,1,882.5915274119764,779.962092758821,11.400707230344931,-0.3128462573571777,883.0067867776379,780.065871834755,11.11334426230096,-0.33121404416084843,0.7143634557723999,0.7143634557723999,0.8121998310089111,0.024155263900048643,0.8121996521949768,2,5.324634010999944
test_B_00000004,B,1,dram_compact,1,649.809611800116,402.4361497665618,8.031226467054937,0.6879123451741451,651.3394349366426,402.43902096152306,8.054914098816907,0.5429807861640447,0.6817864775657654,0.6817864775657654,0.8481879830360413,0.036261494535243716,0.8481884598731995,3,7.737544830999468
test_B_00000008,B,1,dram_legacy,1,749.4036400707485,916.4947791113962,10.472799235539178,-1.4944135534588532,749.4498997554183,916.4482954256237,10.499054915226822,-1.6607717576469543,0.4780891239643097,0.4780891239643097,0.8603933453559875,0.01672135095423522,0.860393226146698,1,3.566192342999784
test_B_00000012,B,1,finfet_7nm,1,480.32848831335815,531.7406705613462,10.778297462356596,0.0378675029642145,479.9495976269245,531.7378275245428,10.752690938230732,-0.042256141493845226,0.6701632738113403,0.755729615688324,0.6701632738113403,0.10947267967233164,0.7376508116722107,3,11.228567422000197
test_B_00000016,B,1,dram_compact,1,466.1513391906837,446.7441375478247,8.888706910656733,0.5530024396861233,467.1989582479,446.68345868587494,8.930635754602163,0.5967104146867437,0.17279164493083954,0.17279164493083954,0.8867261409759521,0.07093696163394994,0.8867259621620178,2,7.292305265000323
test_B_00000020,B,1,finfet_22nm,1,271.70882117647045,299.79230148517746,11.826808256495925,1.2205180134226603,87.3720800280571,405.4990531715448,8.628009991548439,1.2518662565136136,0.02432149276137352,0.02432149276137352,0.921367347240448,0.6865490811335889,0.921367347240448,3,9.204067964001297
test_B_00000024,B,1,dram_wide,1,141.01053439036014,248.66748546808412,11.360297608359923,-0.7775960277634191,140.93651613593102,248.66514387726784,11.397268921277222,-0.8864360688439464,0.8506723046302795,0.9592546224594116,0.8506723046302795,0.1004304453652509,0.8506691455841064,3,8.201603720999628
test_B_00000028,B,1,dram_compact,1,839.5295128079556,225.6533900130647,11.544282796988403,1.8453642737601448,838.9381510950625,225.77986742556095,11.755346710066316,1.5803514255170625,0.26728111505508423,0.26728111505508423,0.8717711567878723,0.32880444660212793,0.8973644971847534,2,7.525160454999423
test_B_00000048,B,1,dram_legacy,1,354.85998478760337,697.6081673833547,8.905019045564787,2.384764980845829,355.76003789901733,697.5710778608918,8.917839386729353,2.3356481258220465,0.6551893353462219,0.6551893353462219,0.8773090839385986,0.3274363999809684,0.8773084878921509,3,11.720384571000977
test_B_00000052,B,1,finfet_10nm,1,914.086398042526,626.0581009339411,10.988018484117529,2.468259950315405,914.0103007201105,626.0344412513077,11.090016519704497,2.5867839686564045,0.7768203020095825,0.8809153437614441,0.7768203020095825,0.014952938084309366,0.7768215537071228,3,6.708911339999759
test_B_00000056,B,1,finfet_10nm,1,747.1237051284422,887.9236260832791,8.172627804631961,-0.8911573255949099,747.8487655520439,887.8770201280713,8.20108351173989,-1.0178571543391375,0.8443902134895325,0.8443902134895325,0.8679052591323853,0.010274183176076378,0.8679050207138062,3,8.86186055700091
test_B_00000060,B,1,dram_1x,1,82.77359414766403,529.2853002379677,8.996639870902003,3.45384377916179,83.24794337153435,529.2179118692875,8.865518961419417,3.542517827666302,0.8096757531166077,0.858640193939209,0.8096757531166077,0.25653176905190705,0.795939564704895,3,8.491129936001016
test_B_00000032,B,1,finfet_10nm,1,715.5558621648931,278.7655616329466,11.594870875299344,0.6064958708800736,715.2350757718086,278.7849060148001,11.615954104765901,0.6273579796826776,0.7503734827041626,0.7977161407470703,0.7503734827041626,0.3940821414139965,0.787980318069458,3,8.694324169000538
test_B_00000036,B,1,dram_loose,1,187.56773350546547,515.7351174724,9.448789963498628,-1.1301675322499016,188.68655678629875,515.7416336238384,9.459111893678118,-1.1349292501609045,0.516810953617096,0.516810953617096,0.7614789009094238,0.08921806199282199,0.7614789009094238,3,9.424263644999883
test_B_00000040,B,1,dram_wide,1,655.7465361063262,294.60860456201334,9.025077768115151,-1.1825736777440143,650.2432631701231,561.1090585961938,9.046888370749725,-1.7112376006492256,0.3107377886772156,0.3107377886772156,0.7390198707580566,1.0,0.7956231236457825,2,7.195990285001244
test_B_00000044,B,1,finfet_7nm,1,769.6056639078026,288.31019723383326,9.189951890578206,2.464229421621865,769.2795859873295,288.2764658033848,9.215072117857419,2.4083563289955974,0.8416936993598938,0.9114818572998047,0.8416936993598938,0.15923419879823136,0.8713200092315674,3,11.104730953999024
test_B_00000064,B,1,dram_compact,1,714.9566123427248,888.5957682977972,9.459907067830969,-3.886640112027374,714.7696480751038,887.6418673843145,9.255831137805346,-3.8414883900036454,0.6759641766548157,0.7802313566207886,0.6759641766548157,0.031914666874457126,0.7835521697998047,2,6.925546600999951
test_B_00000068,B,1,dram_legacy,1,811.1570108809551,295.43579839697327,10.247783805728409,1.306609631545351,810.5732417404652,295.33928856253624,10.089736887650071,1.4238498150169643,0.732516884803772,0.8145616054534912,0.732516884803772,0.11608334938280747,0.837225615978241,3,8.953571924001153
test_B_00000072,B,1,finfet_45nm,1,736.4790391985242,393.5623193785051,8.935589395807973,-3.9773319550441255,736.6074425205588,393.5459084622562,8.962625114264153,-4.073475954663751,0.370686799287796,0.370686799287796,0.790239691734314,0.738102785896817,0.798297643661499,2,6.729757912999048
test_B_00000076,B,1,dram_loose,1,479.7875245255552,220.16719031926505,10.71053727595392,3.145613572431923,479.3297943174839,220.37431702017784,10.80106862249461,2.633899812498247,0.7348412275314331,0.7633631229400635,0.7348412275314331,0.013132671862765583,0.7348423004150391,3,9.020121599998674
test_B_00000080,B,1,finfet_14nm,1,873.7441982724522,116.15445215078898,11.099351870847178,2.416317036369664,873.1558270156384,116.24230010807514,10.735235501480417,3.178999887834778,0.6844301223754883,0.7897564768791199,0.6844301223754883,0.3293751318404684,0.7302519083023071,3,12.358695318998798
test_B_00000084,B,1,finfet_28nm,1,828.239755532928,284.1807695926938,9.90954030850836,-3.263151732807313,828.0802463442087,284.15331153571606,9.865856761671278,-3.358767527159755,0.49312588572502136,0.49312588572502136,0.8509823679924011,0.06233387784735183,0.8625495433807373,3,9.124789855999552
test_B_00000088,B,1,finfet_22nm,1,183.24358336155137,516.7192347636496,9.827138476988608,-2.148819420962489,183.5838204547763,516.665118008852,9.89148133100495,-2.229112062015534,0.7866299152374268,0.8693522810935974,0.7866299152374268,0.02941016093177581,0.7866289615631104,2,6.050236065000718
test_B_00000092,B,1,dram_compact,1,640.116565019569,400.1496705988407,8.760702696862687,3.490312251966488,639.9151677042246,400.1566617190838,8.758450515210036,3.5003594378305714,0.855440616607666,0.8656666874885559,0.855440616607666,0.05592215021926223,0.8554399609565735,3,10.345250723999925
test_B_00000112,B,1,finfet_28nm,1,851.7840564219306,400.1959930373842,8.942524906840731,-0.9922509422818866,851.9762601088732,400.20638029277325,9.061437206570963,-1.0135208243360534,0.7422328591346741,0.9334433674812317,0.7422328591346741,0.14164001961357628,0.805530846118927,3,8.670158641998569
test_B_00000116,B,1,dram_1x,1,148.28353735559676,100.68962832157835,9.925240333295292,4.345358735346931,147.80398033559322,100.57503774762154,9.710621448397813,4.2984587280105435,0.5659235715866089,0.5659235715866089,0.8032677173614502,0.02898718611441298,0.8336144089698792,3,8.202385307999066
test_B_00000120,B,1,finfet_45nm,1,99.56252931818436,872.7228387174722,8.162464980187515,-3.822029150730174,98.73909848928452,872.374189466238,8.385975097349787,-3.7950540840120013,0.866588830947876,0.8962383270263672,0.866588830947876,0.053592896736342995,0.8665890097618103,2,6.167304121001507
test_B_00000124,B,1,finfet_45nm,1,261.59824593280234,593.2649919425052,11.798876061808574,-0.8767301105253642,262.81721889972687,593.2571940720081,11.803390914695097,-0.426408986650964,0.7324227094650269,0.7324227094650269,0.7417431473731995,0.32512408026227835,0.7336085438728333,3,11.789845094999691
test_B_00000096,B,1,dram_loose,1,703.9899713434842,707.4731599439942,9.330635762654875,-3.352711863461104,703.6125776320696,707.5460782162845,9.327974644535827,-3.6161030720062812,0.8130802512168884,0.8483802080154419,0.8130802512168884,0.010809491094855515,0.8130847215652466,2,5.597382063999248
test_B_00000100,B,1,finfet_7nm,1,293.88179054451587,456.79029753971406,8.480257380072965,0.9104670135134504,292.9752221517265,456.9061774536967,8.449720001466442,0.6296727721713915,0.6181526184082031,0.6181526184082031,0.760514497756958,0.16692601061819248,0.7605142593383789,3,9.487039548999746
test_B_00000104,B,1,finfet_28nm,1,414.5731207215102,254.24487313118223,9.282713898288511,1.3832364887952666,415.15584406256676,254.1672210842371,9.258600730355704,1.2840119866790043,0.9368625283241272,0.9381662607192993,0.9368625283241272,0.04133260943678002,0.9368626475334167,3,8.64624120299959
test_B_00000108,B,1,finfet_7nm,1,845.8252999845204,157.0327813191248,9.802923484624763,-4.435532133373512,845.7285399138927,157.0585182234645,9.906050906903948,-4.2921310674166735,0.7003401517868042,0.8410588502883911,0.7003401517868042,0.028830225622165875,0.7003411054611206,3,12.80546384399895
test_B_00000128,B,1,finfet_7nm,1,630.2051763069264,778.8953670757945,9.002427221930589,3.581524412428076,631.4155290424824,778.7526939660311,9.01926233911509,3.524769963003393,0.6487542390823364,0.6487542390823364,0.7597455978393555,0.22567960335492715,0.7883431911468506,2,6.68561346199931
test_B_00000132,B,1,dram_loose,1,246.0047462638501,810.4028211090222,8.93529709196584,4.366502197603825,245.90178868174553,810.3781808838248,8.906373075017497,4.1957916285786165,0.7965659499168396,0.7965659499168396,0.8700298070907593,0.06503069609542958,0.8700292110443115,2,7.520137948000411
test_B_00000136,B,1,finfet_10nm,1,138.43567308119566,546.0242904918401,8.244234782226542,1.071509203417614,138.09534817934036,545.9651680216193,8.376800277939134,0.9934581671844304,0.7494210004806519,0.925280749797821,0.7494210004806519,0.08959426223304014,0.7494218945503235,3,9.849433670000508
test_B_00000140,B,1,dram_1x,1,288.58998793541014,469.50305643001576,11.172408324125712,-3.098524778858059,289.19876343011856,469.49878078501206,11.15452703604514,-3.1460259923320155,0.8445779085159302,0.8445779085159302,0.871707022190094,0.020043666696166303,0.8717074990272522,2,5.585511158998997
test_B_00000160,B,1,finfet_28nm,1,187.7383171505843,616.4640878482021,9.485255903313863,0.3292171904633658,188.422826372087,616.4260703921318,9.382672427727908,0.458517379005412,0.8351892232894897,0.8351892232894897,0.8504555225372314,0.33634667056804274,0.8504555225372314,3,10.973565087999305
test_B_00000164,B,1,dram_1x,1,290.2039979056866,224.6096030013749,11.828410048598489,3.756041276982481,290.5306224953383,224.6030553355813,11.976732104284574,3.9556849831808405,0.47461479902267456,0.47461479902267456,0.91680508852005,0.2511745208763594,0.9168049693107605,3,8.969076909999785
test_B_00000168,B,1,dram_legacy,1,319.9144442746982,365.13373957405247,8.838428577481631,4.070707563336214,320.0209939479828,365.01521941740066,8.75938469702515,3.6881786131586893,0.30702367424964905,0.30702367424964905,0.9514762163162231,0.05414579492050334,0.9514753222465515,2,6.568060139999943
