[22:31] queued 140 shards of set B across 6 workers
[22:32] + B_0066  pool=118
[22:32] + B_0067  pool=119
[22:33] + B_0073  pool=120
[22:33] + B_0071  pool=121
[22:33] + B_0069  pool=122
[22:33] + B_0075  pool=123
[22:34] + B_0072  pool=124
[22:34] + B_0068  pool=125
[22:34] + B_0078  pool=126
[22:35] + B_0077  pool=127
[22:35] + B_0080  pool=128
[22:35] + B_0076  pool=129
[22:36] + B_0081  pool=130
[22:36] + B_0079  pool=131
[22:36] + B_0083  pool=132
[22:36] + B_0086  pool=133
[22:36] + B_0085  pool=134
[22:37] + B_0088  pool=135
[22:37] + B_0087  pool=136
[22:38] + B_0091  pool=137
[22:38] + B_0096  pool=138
[22:39] + B_0094  pool=139
[22:39] + B_0097  pool=140
[22:39] + B_0100  pool=141
[22:39] + B_0095  pool=142
[22:39] + B_0082  pool=143
[22:40] + B_0103  pool=144
[22:40] + B_0102  pool=145
[22:40] + B_0101  pool=146
[22:41] + B_0108  pool=147
[22:41] + B_0104  pool=148
[22:41] + B_0113  pool=149
[22:42] + B_0111  pool=150
[22:42] + B_0106  pool=151
[22:42] + B_0110  pool=152
[22:42] + B_0117  pool=153
[22:42] + B_0114  pool=154
[22:43] + B_0116  pool=155
[22:44] + B_0118  pool=156
[22:44] + B_0121  pool=157
[22:44] + B_0122  pool=158
[22:44] + B_0119  pool=159
[22:45] + B_0124  pool=161
[22:45] + B_0120  pool=161
[22:45] + B_0115  pool=162
[22:46] + B_0125  pool=163
[22:46] + B_0126  pool=164
[22:46] + B_0136  pool=165
[22:47] + B_0128  pool=166
[22:47] + B_0127  pool=167
[22:47] + B_0130  pool=168
[22:48] + B_0129  pool=169
[22:48] DONE set B  pool=169 shards, 84500 pairs
