pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,secs
test_B_00000000,B,1,finfet_28nm,1,882.5915274119764,779.962092758821,11.400707230344931,-0.3128462573571777,883.042144626379,780.0573374442756,11.187812674445002,-0.6068092879970839,0.8245565891265869,0.9207215309143066,0.8245565891265869,0.04042971875577777,0.824557363986969,1484.545789500066,43077.19152375006,5,1.421699696998985
test_B_00000003,B,4,finfet_28nm,1,183.42644413499528,710.0054140455983,8.160576025450855,-3.211949705186284,179.84171169996262,709.8246663510799,8.198019036338536,-3.131323333837077,0.16983135044574738,0.16983135044574738,0.35981905460357666,0.8679400683800189,0.42581260204315186,56.26738467991084,1916.0239027558769,5,1.2348722210008418
test_B_00000006,B,3,finfet_22nm,1,869.7562536745331,603.0251355259953,9.647219162179084,3.329438599259225,868.5442737042904,603.0062131881714,9.49076483266766,2.2673970803459236,0.3104691505432129,0.7467689514160156,0.3104691505432129,0.6932725044825068,0.3423677682876587,158.79203995863764,9584.467177600935,5,1.1794213100001798
test_B_00000009,B,2,dram_1x,1,892.8397962107512,859.9837999373515,9.87215198032337,0.8562731538895187,891.8039757460356,859.8402010649443,10.239571298086206,1.8650103359919241,0.6724588871002197,0.7504889369010925,0.6724588871002197,0.039547765924622245,0.6724599003791809,992.398656873913,30299.026305095173,5,1.0867941130054533
test_B_00000012,B,1,finfet_7nm,1,480.32848831335815,531.7406705613462,10.778297462356596,0.0378675029642145,479.9781889207661,531.8467262089252,10.697111411164542,0.004554909355541387,0.6841095685958862,0.8425448536872864,0.6841095685958862,0.09457228144600174,0.6925204992294312,1055.554420079177,28068.37047621451,5,1.4594947649966343
test_B_00000015,B,4,dram_legacy,1,445.4891611663634,212.82400962056096,8.830202110623947,4.875314999995252,446.3589678108692,212.7619829773903,8.71248724649724,4.92367177051766,0.3204997777938843,0.32636141777038574,0.3204997777938843,0.5049028059135382,0.3200707733631134,97.66234806492528,5445.6603360559975,5,1.2325033230008557
test_B_00000018,B,3,dram_legacy,1,457.2917580176393,409.2672918786086,11.345990278538595,-4.312876426741523,457.3207995891571,409.3306520283222,11.364092120565585,-4.080492283995177,0.4823113679885864,0.4823113679885864,0.6852659583091736,0.23905718870931983,0.6852661371231079,443.89256767036824,29027.318320886374,5,1.151184007001575
test_B_00000021,B,2,finfet_14nm,1,546.307974679667,737.7749888847536,9.62900937467758,1.836481727981102,545.6914455592632,737.8301341235638,9.582344460337989,1.7822521353370906,0.7422638535499573,0.8620220422744751,0.7422638535499573,0.028806224515690072,0.7422635555267334,1545.0163488364758,23374.5554898597,5,1.1867365069992957
test_B_00000024,B,1,dram_wide,1,141.01053439036014,248.66748546808412,11.360297608359923,-0.7775960277634191,140.9970895498991,248.70117583870888,11.43040078706115,-0.7260610868385067,0.8634718656539917,0.9183882474899292,0.8634718656539917,0.10182224841929496,0.8634758591651917,1167.030322158182,20228.395283300128,5,1.4157889760026592
test_B_00000027,B,4,dram_legacy,1,198.3032408256968,753.7004467857937,8.534579346017399,-2.516344312438851,201.20805847644806,753.3839202150702,8.472538151207168,-3.178378763831749,0.4409123659133911,0.8148162364959717,0.4409123659133911,0.28874654471122463,0.4409126043319702,332.39299666332005,12569.51167216799,5,1.2497688969961018
