device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e0 [50/1250] loss 0.384 focal 0.283 off 0.1008 | batch median err 1.8px | 47.9 img/s | lr 4.02e-06
  e0 [100/1250] loss 0.377 focal 0.275 off 0.1019 | batch median err 1.3px | 59.1 img/s | lr 4.07e-06
  e0 [150/1250] loss 0.399 focal 0.291 off 0.1082 | batch median err 1.1px | 64.0 img/s | lr 4.17e-06
  e0 [200/1250] loss 0.409 focal 0.301 off 0.1080 | batch median err 1.9px | 66.8 img/s | lr 4.30e-06
  e0 [250/1250] loss 0.410 focal 0.301 off 0.1083 | batch median err 2.1px | 68.6 img/s | lr 4.47e-06
  e0 [300/1250] loss 0.404 focal 0.296 off 0.1075 | batch median err 1.6px | 69.8 img/s | lr 4.67e-06
  e0 [350/1250] loss 0.402 focal 0.295 off 0.1069 | batch median err 1.1px | 70.7 img/s | lr 4.91e-06
  e0 [400/1250] loss 0.402 focal 0.295 off 0.1069 | batch median err 1.2px | 71.4 img/s | lr 5.19e-06
  e0 [450/1250] loss 0.407 focal 0.299 off 0.1081 | batch median err 2.0px | 72.0 img/s | lr 5.51e-06
  e0 [500/1250] loss 0.409 focal 0.300 off 0.1084 | batch median err 1.6px | 72.4 img/s | lr 5.86e-06
  e0 [550/1250] loss 0.412 focal 0.303 off 0.1086 | batch median err 1.7px | 72.8 img/s | lr 6.25e-06
  e0 [600/1250] loss 0.415 focal 0.307 off 0.1084 | batch median err 1.5px | 73.1 img/s | lr 6.67e-06
  e0 [650/1250] loss 0.415 focal 0.306 off 0.1084 | batch median err 1.7px | 73.4 img/s | lr 7.13e-06
  e0 [700/1250] loss 0.417 focal 0.309 off 0.1082 | batch median err 1.2px | 73.6 img/s | lr 7.62e-06
  e0 [750/1250] loss 0.417 focal 0.308 off 0.1088 | batch median err 1.7px | 73.8 img/s | lr 8.15e-06
  e0 [800/1250] loss 0.415 focal 0.306 off 0.1087 | batch median err 1.3px | 73.9 img/s | lr 8.71e-06
  e0 [850/1250] loss 0.414 focal 0.306 off 0.1082 | batch median err 1.5px | 74.1 img/s | lr 9.31e-06
  e0 [900/1250] loss 0.413 focal 0.304 off 0.1083 | batch median err 1.4px | 74.2 img/s | lr 9.94e-06
  e0 [950/1250] loss 0.412 focal 0.304 off 0.1086 | batch median err 1.4px | 74.4 img/s | lr 1.06e-05
  e0 [1000/1250] loss 0.413 focal 0.303 off 0.1092 | batch median err 1.4px | 74.5 img/s | lr 1.13e-05
  e0 [1050/1250] loss 0.413 focal 0.304 off 0.1088 | batch median err 1.9px | 74.6 img/s | lr 1.20e-05
  e0 [1100/1250] loss 0.412 focal 0.303 off 0.1088 | batch median err 1.6px | 74.6 img/s | lr 1.28e-05
  e0 [1150/1250] loss 0.413 focal 0.304 off 0.1086 | batch median err 1.3px | 74.7 img/s | lr 1.36e-05
  e0 [1200/1250] loss 0.412 focal 0.303 off 0.1089 | batch median err 1.5px | 74.8 img/s | lr 1.44e-05
  e0 [1250/1250] loss 0.412 focal 0.303 off 0.1091 | batch median err 2.0px | 74.9 img/s | lr 1.52e-05
epoch 0: loss 0.4122 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 5.2 min
  e1 [50/1250] loss 0.415 focal 0.304 off 0.1106 | batch median err 1.0px | 72.6 img/s | lr 1.61e-05
  e1 [100/1250] loss 0.439 focal 0.324 off 0.1147 | batch median err 1.9px | 74.6 img/s | lr 1.70e-05
  e1 [150/1250] loss 0.437 focal 0.322 off 0.1147 | batch median err 2.2px | 75.2 img/s | lr 1.79e-05
  e1 [200/1250] loss 0.434 focal 0.320 off 0.1139 | batch median err 1.0px | 75.6 img/s | lr 1.89e-05
  e1 [250/1250] loss 0.437 focal 0.323 off 0.1147 | batch median err 2.1px | 75.8 img/s | lr 1.99e-05
  e1 [300/1250] loss 0.436 focal 0.321 off 0.1147 | batch median err 7.7px | 75.9 img/s | lr 2.09e-05
  e1 [350/1250] loss 0.432 focal 0.317 off 0.1149 | batch median err 1.3px | 76.0 img/s | lr 2.19e-05
  e1 [400/1250] loss 0.431 focal 0.316 off 0.1150 | batch median err 1.3px | 76.1 img/s | lr 2.30e-05
  e1 [450/1250] loss 0.431 focal 0.317 off 0.1141 | batch median err 1.6px | 76.1 img/s | lr 2.41e-05
  e1 [500/1250] loss 0.427 focal 0.315 off 0.1126 | batch median err 1.6px | 76.2 img/s | lr 2.52e-05
  e1 [550/1250] loss 0.426 focal 0.314 off 0.1115 | batch median err 2.1px | 76.2 img/s | lr 2.63e-05
  e1 [600/1250] loss 0.424 focal 0.312 off 0.1115 | batch median err 1.3px | 76.2 img/s | lr 2.74e-05
  e1 [650/1250] loss 0.423 focal 0.312 off 0.1112 | batch median err 1.5px | 76.2 img/s | lr 2.86e-05
  e1 [700/1250] loss 0.421 focal 0.310 off 0.1108 | batch median err 1.3px | 76.3 img/s | lr 2.98e-05
  e1 [750/1250] loss 0.419 focal 0.308 off 0.1104 | batch median err 1.0px | 76.3 img/s | lr 3.10e-05
  e1 [800/1250] loss 0.418 focal 0.308 off 0.1099 | batch median err 1.0px | 76.3 img/s | lr 3.22e-05
  e1 [850/1250] loss 0.421 focal 0.311 off 0.1098 | batch median err 1.3px | 76.3 img/s | lr 3.34e-05
  e1 [900/1250] loss 0.420 focal 0.310 off 0.1099 | batch median err 1.7px | 76.3 img/s | lr 3.47e-05
  e1 [950/1250] loss 0.420 focal 0.310 off 0.1098 | batch median err 1.5px | 76.3 img/s | lr 3.59e-05
  e1 [1000/1250] loss 0.419 focal 0.309 off 0.1097 | batch median err 1.5px | 76.3 img/s | lr 3.72e-05
  e1 [1050/1250] loss 0.419 focal 0.309 off 0.1095 | batch median err 1.2px | 76.3 img/s | lr 3.85e-05
  e1 [1100/1250] loss 0.418 focal 0.308 off 0.1093 | batch median err 1.4px | 76.3 img/s | lr 3.97e-05
  e1 [1150/1250] loss 0.418 focal 0.309 off 0.1091 | batch median err 1.9px | 76.3 img/s | lr 4.11e-05
  e1 [1200/1250] loss 0.417 focal 0.308 off 0.1087 | batch median err 1.3px | 76.3 img/s | lr 4.24e-05
  e1 [1250/1250] loss 0.418 focal 0.309 off 0.1090 | batch median err 1.4px | 76.4 img/s | lr 4.37e-05
epoch 1: loss 0.4178 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
