device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
  e0 [50/1875] loss 0.322 focal 0.234 off 0.0886 | batch median err 1.8px | 48.5 img/s | lr 3.21e-06
  e0 [100/1875] loss 0.311 focal 0.220 off 0.0904 | batch median err 1.1px | 59.6 img/s | lr 3.23e-06
  e0 [150/1875] loss 0.333 focal 0.237 off 0.0961 | batch median err 1.1px | 64.5 img/s | lr 3.26e-06
  e0 [200/1875] loss 0.335 focal 0.240 off 0.0954 | batch median err 1.9px | 67.3 img/s | lr 3.31e-06
  e0 [250/1875] loss 0.337 focal 0.241 off 0.0959 | batch median err 1.3px | 69.1 img/s | lr 3.37e-06
  e0 [300/1875] loss 0.332 focal 0.237 off 0.0952 | batch median err 1.5px | 70.3 img/s | lr 3.44e-06
  e0 [350/1875] loss 0.331 focal 0.236 off 0.0946 | batch median err 1.1px | 71.1 img/s | lr 3.53e-06
  e0 [400/1875] loss 0.331 focal 0.236 off 0.0945 | batch median err 1.2px | 71.8 img/s | lr 3.63e-06
  e0 [450/1875] loss 0.336 focal 0.240 off 0.0959 | batch median err 1.1px | 72.3 img/s | lr 3.74e-06
  e0 [500/1875] loss 0.338 focal 0.242 off 0.0964 | batch median err 1.7px | 72.8 img/s | lr 3.86e-06
  e0 [550/1875] loss 0.340 focal 0.244 off 0.0964 | batch median err 1.5px | 73.1 img/s | lr 4.00e-06
  e0 [600/1875] loss 0.343 focal 0.247 off 0.0962 | batch median err 1.4px | 73.4 img/s | lr 4.15e-06
  e0 [650/1875] loss 0.342 focal 0.246 off 0.0959 | batch median err 1.6px | 73.6 img/s | lr 4.32e-06
  e0 [700/1875] loss 0.343 focal 0.248 off 0.0956 | batch median err 1.3px | 73.9 img/s | lr 4.50e-06
  e0 [750/1875] loss 0.344 focal 0.247 off 0.0963 | batch median err 1.6px | 74.0 img/s | lr 4.69e-06
  e0 [800/1875] loss 0.342 focal 0.246 off 0.0963 | batch median err 0.9px | 74.2 img/s | lr 4.89e-06
  e0 [850/1875] loss 0.342 focal 0.246 off 0.0959 | batch median err 1.4px | 74.4 img/s | lr 5.11e-06
  e0 [900/1875] loss 0.341 focal 0.245 off 0.0961 | batch median err 1.7px | 74.5 img/s | lr 5.34e-06
  e0 [950/1875] loss 0.341 focal 0.245 off 0.0966 | batch median err 1.5px | 74.6 img/s | lr 5.58e-06
  e0 [1000/1875] loss 0.341 focal 0.244 off 0.0970 | batch median err 1.3px | 74.7 img/s | lr 5.83e-06
  e0 [1050/1875] loss 0.341 focal 0.244 off 0.0966 | batch median err 1.9px | 74.8 img/s | lr 6.10e-06
  e0 [1100/1875] loss 0.341 focal 0.244 off 0.0967 | batch median err 1.5px | 74.9 img/s | lr 6.38e-06
  e0 [1150/1875] loss 0.342 focal 0.245 off 0.0966 | batch median err 1.2px | 74.9 img/s | lr 6.67e-06
  e0 [1200/1875] loss 0.341 focal 0.244 off 0.0968 | batch median err 1.5px | 75.0 img/s | lr 6.97e-06
  e0 [1250/1875] loss 0.341 focal 0.244 off 0.0970 | batch median err 1.5px | 75.1 img/s | lr 7.29e-06
  e0 [1300/1875] loss 0.340 focal 0.243 off 0.0969 | batch median err 1.1px | 75.1 img/s | lr 7.61e-06
  e0 [1350/1875] loss 0.340 focal 0.243 off 0.0968 | batch median err 1.2px | 75.2 img/s | lr 7.95e-06
  e0 [1400/1875] loss 0.340 focal 0.244 off 0.0967 | batch median err 1.5px | 75.2 img/s | lr 8.30e-06
  e0 [1450/1875] loss 0.341 focal 0.244 off 0.0968 | batch median err 1.8px | 75.3 img/s | lr 8.66e-06
  e0 [1500/1875] loss 0.342 focal 0.245 off 0.0966 | batch median err 1.4px | 75.3 img/s | lr 9.04e-06
  e0 [1550/1875] loss 0.342 focal 0.245 off 0.0966 | batch median err 1.1px | 75.4 img/s | lr 9.42e-06
  e0 [1600/1875] loss 0.342 focal 0.245 off 0.0968 | batch median err 9.6px | 75.4 img/s | lr 9.82e-06
  e0 [1650/1875] loss 0.342 focal 0.246 off 0.0968 | batch median err 1.2px | 75.4 img/s | lr 1.02e-05
  e0 [1700/1875] loss 0.341 focal 0.245 off 0.0966 | batch median err 0.9px | 75.5 img/s | lr 1.06e-05
  e0 [1750/1875] loss 0.341 focal 0.244 off 0.0964 | batch median err 1.0px | 75.5 img/s | lr 1.11e-05
  e0 [1800/1875] loss 0.341 focal 0.245 off 0.0964 | batch median err 1.3px | 75.5 img/s | lr 1.15e-05
  e0 [1850/1875] loss 0.341 focal 0.245 off 0.0965 | batch median err 1.0px | 75.6 img/s | lr 1.20e-05
epoch 0: loss 0.3410 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 7.3 min
  e1 [50/1875] loss 0.343 focal 0.242 off 0.1003 | batch median err 1.1px | 72.8 img/s | lr 1.27e-05
  e1 [100/1875] loss 0.363 focal 0.262 off 0.1007 | batch median err 1.6px | 74.7 img/s | lr 1.31e-05
  e1 [150/1875] loss 0.361 focal 0.260 off 0.1012 | batch median err 1.8px | 75.3 img/s | lr 1.36e-05
  e1 [200/1875] loss 0.358 focal 0.258 off 0.1002 | batch median err 1.1px | 75.7 img/s | lr 1.41e-05
  e1 [250/1875] loss 0.361 focal 0.260 off 0.1009 | batch median err 2.5px | 75.9 img/s | lr 1.46e-05
  e1 [300/1875] loss 0.357 focal 0.256 off 0.1008 | batch median err 7.5px | 76.0 img/s | lr 1.51e-05
  e1 [350/1875] loss 0.354 focal 0.253 off 0.1012 | batch median err 1.2px | 76.1 img/s | lr 1.56e-05
  e1 [400/1875] loss 0.352 focal 0.251 off 0.1011 | batch median err 1.2px | 76.1 img/s | lr 1.62e-05
  e1 [450/1875] loss 0.351 focal 0.250 off 0.1004 | batch median err 1.7px | 76.2 img/s | lr 1.67e-05
  e1 [500/1875] loss 0.349 focal 0.249 off 0.0996 | batch median err 1.8px | 76.2 img/s | lr 1.73e-05
  e1 [550/1875] loss 0.348 focal 0.249 off 0.0989 | batch median err 2.2px | 76.3 img/s | lr 1.78e-05
  e1 [600/1875] loss 0.346 focal 0.247 off 0.0991 | batch median err 1.3px | 76.3 img/s | lr 1.84e-05
  e1 [650/1875] loss 0.346 focal 0.248 off 0.0987 | batch median err 1.7px | 76.3 img/s | lr 1.90e-05
  e1 [700/1875] loss 0.344 focal 0.246 off 0.0982 | batch median err 1.3px | 76.3 img/s | lr 1.95e-05
  e1 [750/1875] loss 0.342 focal 0.245 off 0.0977 | batch median err 1.1px | 76.3 img/s | lr 2.01e-05
  e1 [800/1875] loss 0.342 focal 0.245 off 0.0973 | batch median err 1.1px | 76.3 img/s | lr 2.07e-05
  e1 [850/1875] loss 0.344 focal 0.247 off 0.0973 | batch median err 1.2px | 76.4 img/s | lr 2.13e-05
  e1 [900/1875] loss 0.343 focal 0.246 off 0.0972 | batch median err 1.8px | 76.4 img/s | lr 2.19e-05
  e1 [950/1875] loss 0.343 focal 0.246 off 0.0970 | batch median err 1.2px | 76.4 img/s | lr 2.26e-05
  e1 [1000/1875] loss 0.342 focal 0.245 off 0.0969 | batch median err 1.3px | 76.4 img/s | lr 2.32e-05
  e1 [1050/1875] loss 0.342 focal 0.246 off 0.0968 | batch median err 1.2px | 76.4 img/s | lr 2.38e-05
  e1 [1100/1875] loss 0.341 focal 0.245 off 0.0965 | batch median err 1.4px | 76.4 img/s | lr 2.45e-05
