pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,rank,band,margin,n_hyp,secs
test_A_00000062,A,3,dram_wide,1,800.3872058699709,546.1940249685573,11.254303534737684,1.2796951449637586,800.5955294072628,546.2790487110615,11.268638342887586,0.9756987645034069,0.8191715478897095,0.9068930149078369,0.8191715478897095,0.01539696746957307,0.8191714882850647,1910.1966444223187,33737.369333951094,0.4913499057292938,0.923738956451416,-0.0009278655052185059,3,9.537251500005368
test_A_00000082,A,3,dram_1x,1,929.6329784339864,619.2080126569779,11.21953239153825,-4.58625873719426,929.0979527160525,619.2243505269289,11.239542065272992,-4.650228594744343,0.9055435657501221,0.9112783670425415,0.9055435657501221,0.015153280509727633,0.9055461883544922,2368.067225828538,23321.63298463737,0.3445839285850525,0.9271429777145386,,1,1.6462640420068055
test_A_00000099,A,4,finfet_22nm,1,54.32736329068575,483.52268084134937,11.81527421019326,-1.8019757431878831,817.7317951470613,839.5040239542723,8.075768439968915,-1.7635064018134106,0.030169397592544556,0.030169397592544556,0.9220457673072815,0.8800540616229896,0.9304860234260559,48.99644770411149,1185.3725773543879,0.35792118310928345,0.9641848206520081,-0.7541020810604095,2,3.3124378339853138
test_A_00000120,A,1,finfet_10nm,1,392.0055693448944,254.01695082929817,8.448895574268098,-0.2691603506802256,393.1490002274513,254.0264855735004,8.47585866071141,-0.19338621531914507,0.840274453163147,0.9447740316390991,0.840274453163147,0.03874876834921509,0.8402736186981201,1224.7805695127488,26201.13837792588,0.468362957239151,0.9354428648948669,0.840274453163147,3,4.24560687498888
test_A_00000191,A,4,dram_wide,1,867.2761956412064,729.321688148176,10.795590349500593,-2.4514166040488705,866.9761993587017,729.3022550195456,10.805694515775297,-2.574979888842264,0.7481102347373962,0.7481102347373962,0.8960113525390625,0.03820721435396612,0.9324607849121094,1484.1509075169722,32070.312087781018,0.39864596724510193,0.9429817199707031,0.7481102347373962,2,8.126111791993026
test_A_00000192,A,1,dram_wide,1,395.8815902446444,527.183072106992,8.422286107521698,-1.9970587440367948,396.6884111762047,527.1751440018415,8.420375422718514,-1.9384862906556748,0.8647943139076233,0.9404648542404175,0.8647943139076233,0.03848133002484032,0.8647943735122681,1574.687638327245,26043.894528797402,0.2776488959789276,0.9109424352645874,0.8647943139076233,2,3.8487622080137953
test_A_00000197,A,2,dram_compact,1,79.13644710104029,71.7945401861943,10.88120957896438,-1.3382948388359472,78.99724091170356,71.78537458181381,10.833451176279649,-1.358037113480498,0.610660970211029,0.610660970211029,0.9237580299377441,0.05928281376110997,0.9237589240074158,1116.642770586873,41088.24242285682,0.42953619360923767,0.9726865887641907,0.610660970211029,2,3.259424499992747
test_A_00000204,A,1,finfet_22nm,1,651.7002033750673,360.4510773711978,11.395068774800226,2.7493783903976805,650.4848866313696,360.44328020885587,11.375717874121953,2.6192344918142525,0.780312716960907,0.9057483077049255,0.780312716960907,0.07754516257143769,0.7803122997283936,1373.953074791621,39608.467303575235,0.43519559502601624,0.900244414806366,0.7405678443610668,3,4.203790083003696
test_A_00000133,A,2,dram_wide,1,244.8248227165733,912.4215524679204,10.79410263207019,-0.5571351064539618,244.5064921504818,912.4527778290212,10.69715206000056,-0.7920577536730878,0.8896406888961792,0.900655210018158,0.8896406888961792,0.01687166626396621,0.8896421790122986,2507.3640518787593,18416.860919361527,0.4351087510585785,0.9275845885276794,0.8896406888961792,2,7.646898832987063
test_A_00000143,A,4,dram_wide,1,91.689159267091,494.26861085234515,9.613348746992568,1.5896807927215315,91.46742796897888,494.2737551778555,9.547911232211117,1.6814297390087767,0.8948654532432556,0.9488029479980469,0.8948654532432556,0.008156818348436312,0.8948659896850586,2742.3656593798396,22251.484404711184,0.47881969809532166,0.9642900228500366,0.860043503344059,3,4.859791291994043
