pair_id,set,severity,architecture,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,net_score,zncc,peak_ratio,pose_peak,psr,apce,n_hyp,n_hyp_offered,winner_margin,rescued,secs
test_A_00000000,A,1,finfet_14nm,1,310.29036781439254,335.82386632668306,9.75228803210116,1.8522376622030563,310.38860692083836,335.7414357662201,9.785964761357862,2.093696777320659,0.784974992275238,0.974680483341217,0.784974992275238,0.04274207418777337,0.7849739193916321,1823.368883409731,36026.557143750266,3,3,0.06244271993637085,0,1.2902508140032296
test_A_00000005,A,2,finfet_7nm,1,93.25826964635444,379.73528701992205,8.150307194758732,3.1359514213127118,92.82327455282211,379.7914522141218,8.160163860280406,3.1637249811658674,0.8676338195800781,0.9475942254066467,0.8676338195800781,0.025788933310638643,0.8676344752311707,1696.2840417807372,14175.721926963088,2,2,0.8676338195800781,0,0.6392071999944164
test_A_00000010,A,3,dram_dense,1,888.2314800090151,105.72525523438723,11.229161579490906,1.3758330915508434,888.8800162672997,105.66803295910358,11.393255184025966,1.1825569283295478,0.8401302695274353,0.9723551273345947,0.8401302695274353,0.04403778697552664,0.8401317000389099,1951.286274555172,36994.99270043202,2,2,0.8401302695274353,0,0.6337776830041548
test_A_00000015,A,4,dram_dense,1,621.1156799624005,744.1230792116862,8.992983175052604,0.4560997041897998,619.941126126796,744.0827177986503,8.963733524501183,0.29402464634934455,0.8327354192733765,0.9558948278427124,0.8327354192733765,0.022133767024579146,0.8327366709709167,1927.9048878783085,23398.113846528704,3,3,0.8327354192733765,0,1.0198576350012445
test_A_00000020,A,1,finfet_22nm,1,474.98056671918994,224.49968313492823,9.2281302408799,0.322489735119202,475.078049659729,224.47672924399376,9.219973915551462,0.5512882393305855,0.850721538066864,0.850721538066864,0.8913331031799316,0.0365422524191047,0.8913339972496033,2243.240375942042,35355.33376924324,3,3,0.8913331031799316,0,1.3853978589977487
test_A_00000025,A,2,finfet_10nm,1,743.4740905611797,663.7328264229709,11.22409316854937,-0.7693024937758199,743.091410793364,663.8082520365715,11.229718322782844,-0.9339055815073045,0.8748055100440979,0.9283487200737,0.8748055100440979,0.06597600742004534,0.8748040199279785,1918.9394687422418,42962.38847634044,3,3,0.04777395725250244,0,0.9569926550029777
test_A_00000030,A,3,finfet_28nm,1,714.6647188024422,721.1709067351237,9.3069130778194,-3.312436077828273,714.266379237175,721.1749160736799,9.303494283099644,-3.497472397167887,0.8400339484214783,0.9499898552894592,0.8400339484214783,0.01449469662009821,0.8400339484214783,2688.082304072589,28472.012113768593,3,3,0.8400339484214783,0,0.9223659870040137
test_A_00000035,A,4,finfet_45nm,1,372.94013575493113,187.31056657966064,8.647673314988971,-2.846525497593957,373.0338192470372,187.1550254970789,8.620921049282117,-2.7814728458287763,0.7268635630607605,0.9246239066123962,0.7268635630607605,0.18474225654410942,0.726864218711853,492.6975788701334,16952.170196073283,3,3,0.41188257932662964,0,1.0324667579989182
test_A_00000040,A,1,dram_wide,1,818.3302220126327,514.6235956191861,10.498161100406463,2.618713993363292,818.2720538079739,514.6236922219396,10.496960562841087,2.445192057985588,0.9309505224227905,0.9806952476501465,0.9309505224227905,0.03484775063245533,0.9309502840042114,2268.807217876881,29334.028149104583,2,2,0.035957276821136475,0,0.737523735006107
test_A_00000045,A,2,finfet_7nm,1,600.0022067570972,474.8285662896759,11.120738943884303,1.5748584775242254,599.9793499410152,474.7648466825485,11.127797690012034,1.4974608591497724,0.7698760628700256,0.8908418416976929,0.7698760628700256,0.2386732741659455,0.8581808805465698,738.8905175201179,30270.13075691397,2,2,0.7698760628700256,0,0.7159943700025906
