pair_id,score,x,y,scale,theta
p004,0.8048734664916992,332.0,907.0,9.0,4.0
p006,0.842040479183197,288.5,831.5,8.5,2.0
p008,0.8530726432800293,706.0,910.0,12.0,1.0
p009,0.8446730375289917,367.0,745.0,8.0,0.0
p011,0.724134624004364,774.0,432.0,12.0,3.0
p013,0.6130584478378296,769.0,605.0,10.5,4.0
p015,0.8485177755355835,588.0,267.0,9.5,1.0
p017,0.8387383222579956,910.0,165.0,12.0,3.0
p019,0.8683940768241882,453.0,236.0,11.5,0.0
p022,0.46475499868392944,908.5,599.5,8.5,4.0
p025,0.7130932807922363,307.0,717.0,8.0,0.0
p027,0.5644400119781494,292.0,784.0,9.0,-3.0
p029,0.6532341837882996,844.0,910.0,9.5,-1.0
p031,0.5878611207008362,245.5,623.5,8.5,-4.0
p032,0.4746858477592468,907.0,475.0,11.5,0.0
p035,0.49740365147590637,866.0,908.0,11.5,0.0
p036,0.30036672949790955,648.0,282.0,12.0,1.0
p037,0.601516842842102,193.0,955.0,11.5,0.0
p038,0.4677698612213135,599.5,542.5,10.0,-3.0
p039,0.34136733412742615,358.0,695.0,12.0,1.0
p045,0.8556703329086304,605.0,561.0,10.5,1.0
p046,0.8217196464538574,907.0,297.0,9.0,0.0
p023,0.4894900321960449,288.0,673.0,12.0,-3.0
p028,0.4452219605445862,313.0,471.0,11.5,2.0
p033,0.3038140535354614,286.5,221.5,10.0,-4.0
