pair_id,x,y,theta_x,scale,found,score,set,gt_found,x_gt,y_gt,gt_rot,scale_gt,gt_x,gt_y,gt_scale,err,pred_found,loc_credit,s_err,r_err,architecture,severity,num_layers,channels,zoom,theta_y
p004,332.3422,908.1945,4.482,9.115,1,0.902771,A,1,330.927,907.66,4.6,9.15,330.927,907.66,9.15,1.5127727159093975,1,0.8,0.0038251366120218,0.1179999999999994,dram_loose,1,8,1,9.15,4.6
p006,288.7614,831.7975,2.2807,8.5974,1,0.890206,A,1,287.783,831.274,2.3,8.6,287.783,831.274,8.6,1.1096480568179918,1,0.8,0.0003023255813952,0.0192999999999998,dram_compact,1,8,1,8.6,2.3
p008,706.9663,910.4308,1.2466,11.947,1,0.874573,A,1,706.267,909.925,1.4,11.9,706.267,909.925,11.9,0.8630493207227578,1,1.0,0.0039495798319326,0.1533999999999999,finfet_10nm,0,8,1,11.9,1.4
p009,367.7966,745.4824,0.1882,8.0,1,0.844984,A,1,366.836,744.875,0.0,8.0,366.836,744.875,8.0,1.1365241396468355,1,0.8,0.0,0.1882,finfet_10nm,1,8,1,8.0,0.0
p011,774.569,432.3451,3.4269,12.0,1,0.853717,A,1,773.574,431.839,3.3,12.0,773.574,431.839,12.0,1.1163163574901216,1,0.8,0.0,0.1269,finfet_14nm,1,8,1,12.0,3.3
p013,769.6672,605.0574,4.5524,10.4454,1,0.790003,A,1,769.473,604.524,4.9,10.45,769.473,604.524,10.45,0.5676523584026052,1,1.0,0.0004401913875598,0.3476000000000008,finfet_28nm,1,8,1,10.45,4.9
p015,588.5476,267.7881,1.7882,9.3053,1,0.917471,A,1,588.322,267.32,1.75,9.3,588.322,267.32,9.3,0.5196277225090927,1,1.0,0.0005698924731182,0.0382,dram_dense,1,8,1,9.3,1.75
p017,910.1362,165.388,3.1698,11.9908,1,0.90116,A,1,909.707,164.848,2.95,12.0,909.707,164.848,12.0,0.6897917366858082,1,1.0,0.0007666666666666,0.2197999999999997,dram_wide,1,8,1,12.0,2.95
p019,453.1095,236.7942,0.3364,11.6255,1,0.877073,A,1,452.38,236.193,0.45,11.6,452.38,236.193,11.6,0.9453103670223956,1,1.0,0.002198275862069,0.1136,dram_compact,1,8,1,11.6,0.45
p022,909.0307,600.1232,4.8286,8.2502,1,0.623722,B,1,907.843,599.653,4.9,8.25,907.843,599.653,8.25,1.277387697607946,1,0.8,2.4242424242367743e-05,0.0714000000000005,dram_loose,3,8,1,8.25,4.9
p025,308.0193,717.6304,-1.08,8.0171,1,0.728789,B,1,306.087,716.976,-0.9,8.0,306.087,716.976,8.0,2.0401035880562546,1,0.6,0.0021374999999999,0.18,dram_legacy,3,8,1,8.0,-0.9
p027,293.4304,783.9717,-3.6944,8.8802,1,0.645835,B,1,292.116,783.444,-3.35,8.9,292.116,783.444,8.9,1.4163737677605412,1,0.8,0.0022247191011236,0.3443999999999998,finfet_7nm,3,8,1,8.9,-3.35
p029,841.7137,910.5536,-2.2584,9.5515,1,0.731145,B,1,844.215,909.956,-1.8,9.55,844.215,909.956,9.55,2.571697386941163,1,0.6,0.0001570680628272,0.4583999999999999,finfet_22nm,2,8,1,9.55,-1.8
p031,245.972,624.2985,-5.0,8.4344,1,0.764917,B,1,245.773,623.983,-4.9,8.45,245.773,623.983,8.45,0.3730164205501305,1,1.0,0.0018461538461537,0.0999999999999996,finfet_45nm,2,8,1,8.45,-4.9
