pair_id,set,architecture,severity,present,err_rows_off,err_rows_on
p004,A,dram_loose,1,1,1.5127565917547705,1.5127565917547705
p006,A,dram_compact,1,1,1.2196906057311971,1.1096806257907772
p008,A,finfet_10nm,0,1,0.6497172231470746,0.8630662248324129
p009,A,finfet_10nm,1,1,1.2515455056749405,1.13655094571119
p011,A,finfet_14nm,1,1,1.1163689174492597,1.1163689174492597
p013,A,finfet_28nm,1,1,0.6010421502961901,0.5676339227920706
p015,A,dram_dense,1,1,0.5196631617975035,0.5196631617975035
p017,A,dram_wide,1,1,0.7882724783549727,0.6897504924216731
p019,A,dram_compact,1,1,0.9452804634295794,0.9452804634295794
p022,B,dram_loose,3,1,1.2773565317009834,1.2773565317009834
p023,B,dram_wide,4,1,0.8074062735595228,0.8074062735595228
p025,B,dram_legacy,3,1,2.0401451297548485,2.0401451297548485
p027,B,finfet_7nm,3,1,0.8960893610419731,1.4163394851601248
p028,B,finfet_14nm,4,1,1.6476178982944112,0.6863367667787081
p029,B,finfet_22nm,2,1,0.7208972172831286,2.57174424065981
p031,B,finfet_45nm,2,1,0.3730369146788984,0.3730369146788984
p032,B,dram_1x,4,1,2.4005877472869357,2.4005877472869357
p033,B,finfet_10nm,4,1,0.3638423587494717,0.3638423587494717
p035,C,dram_1x,0,0,,
p036,C,dram_dense,2,0,,
p037,C,dram_wide,1,0,,
p038,C,dram_legacy,0,0,,
p039,C,dram_compact,2,0,,
p045,D,dram_1x,0,1,0.7635836666997673,0.8229632964580478
p046,D,finfet_10nm,1,1,0.7198000026079657,0.1630915145770642
