pair_id,present,x,y,theta,scale
p004,1,330.927,907.66,4.6,9.15
p006,1,287.783,831.274,2.3,8.6
p008,1,706.267,909.925,1.4,11.9
p009,1,366.836,744.875,0.0,8.0
p011,1,773.574,431.839,3.3,12.0
p013,1,769.473,604.524,4.9,10.45
p015,1,588.322,267.32,1.75,9.3
p017,1,909.707,164.848,2.95,12.0
p019,1,452.38,236.193,0.45,11.6
p022,1,907.843,599.653,4.9,8.25
p025,1,306.087,716.976,-0.9,8.0
p027,1,292.116,783.444,-3.35,8.9
p029,1,844.215,909.956,-1.8,9.55
p031,1,245.773,623.983,-4.9,8.45
p032,1,905.195,474.867,1.1,11.2
p035,0,0.0,0.0,0.0,0.0
p036,0,0.0,0.0,0.0,0.0
p037,0,0.0,0.0,0.0,0.0
p038,0,0.0,0.0,0.0,0.0
p039,0,0.0,0.0,0.0,0.0
p045,1,605.294,560.68,1.9,10.3
p046,1,909.785,298.914,-4.0,9.05
p023,1,288.497,672.818,-4.4,11.75
p028,1,311.892,470.569,4.1,11.4
p033,1,286.786,222.409,-3.9,9.85
