pair_id,set,architecture,num_layers,channels,severity,zoom,theta,present,gt_x,gt_y,canvas_size_px,verify_err_px,verify_margin,edge_err_px,edge_margin,intensity_rivals,edge_rivals,crop_attempts,collapse_pressure,dose_search,seed
p004,A,dram_loose,8,1,1,9.15,4.6,1,330.927,907.66,9863,1.126,0.2169,1.126,0.3267,0,0,1,0.76,150.0,20284673
p006,A,dram_compact,8,1,1,8.6,2.3,1,287.783,831.274,8947,0.752,0.1233,0.752,0.1872,0,0,1,0.76,150.0,20300511
p008,A,finfet_10nm,8,1,0,11.9,1.4,1,706.267,909.925,12196,0.485,0.1385,0.485,0.189,0,0,2,0.68,300.0,20316349
p009,A,finfet_10nm,8,1,1,8.0,0.0,1,366.836,744.875,8008,0.206,0.2882,0.206,0.2847,0,0,3,0.76,150.0,20324268
p011,A,finfet_14nm,8,1,1,12.0,3.3,1,773.574,431.839,12679,0.456,0.2168,0.456,0.1985,0,0,3,0.76,150.0,20340106
p013,A,finfet_28nm,8,1,1,10.45,4.9,1,769.473,604.524,11313,0.973,0.1457,0.973,0.1722,0,0,1,0.76,150.0,20355944
p015,A,dram_dense,8,1,1,9.3,1.75,1,588.322,267.32,9588,0.253,0.2831,0.253,0.2992,0,0,5,0.76,150.0,20371782
p017,A,dram_wide,8,1,1,12.0,2.95,1,909.707,164.848,12610,0.33,0.2821,0.33,0.3152,0,0,1,0.76,150.0,20387620
p019,A,dram_compact,8,1,1,11.6,0.45,1,452.38,236.193,11699,0.329,0.2546,0.329,0.2724,0,0,2,0.76,150.0,20403458
p022,B,dram_loose,8,1,3,8.25,4.9,1,907.843,599.653,8933,1.208,0.1778,0.381,0.141,0,0,6,0.9,55.0,20427215
p025,B,dram_legacy,8,1,3,8.0,-0.9,1,306.087,716.976,8133,0.913,0.1598,1.913,0.2124,0,0,2,0.9,55.0,20450972
p027,B,finfet_7nm,8,1,3,8.9,-3.35,1,292.116,783.444,9413,0.388,0.1373,0.388,0.1696,0,0,6,0.9,55.0,20466810
p029,B,finfet_22nm,8,1,2,9.55,-1.8,1,844.215,909.956,9854,0.22,0.2755,0.22,0.3196,0,0,2,0.83,90.0,20482648
p031,B,finfet_45nm,8,1,2,8.45,-4.9,1,245.773,623.983,9149,0.555,0.2362,0.555,0.2038,0,0,1,0.83,90.0,20498486
p032,B,dram_1x,8,1,4,11.2,1.1,1,905.195,474.867,11421,1.81,0.1668,1.81,0.1565,0,0,13,0.96,32.0,20506405
p035,C,dram_1x,8,1,0,9.8,2.1,0,0.0,0.0,10161,,,,,,,1,0.68,300.0,20530162
p036,C,dram_dense,8,1,2,8.45,4.2,0,0.0,0.0,9055,,,,,,,1,0.83,90.0,20538081
p037,C,dram_wide,8,1,1,12.0,-1.7,0,0.0,0.0,12359,,,,,,,1,0.76,150.0,20546000
p038,C,dram_legacy,8,1,0,10.3,-3.6,0,0.0,0.0,10935,,,,,,,1,0.68,300.0,20553919
p039,C,dram_compact,8,1,2,8.0,0.85,0,0.0,0.0,8126,,,,,,,1,0.83,90.0,20561838
p045,D,dram_1x,8,3,0,10.3,1.9,1,605.294,560.68,10644,0.434,0.1573,0.434,0.1644,0,0,2,0.68,300.0,20609352
p046,D,finfet_10nm,8,3,1,9.05,-4.0,1,909.785,298.914,9668,0.503,0.2395,0.503,0.277,0,0,2,0.76,150.0,20617271
p023,B,dram_wide,8,1,4,11.75,-4.4,1,288.497,672.818,12625,0.529,0.1451,0.535,0.1244,0,0,27,0.96,32.0,20260916
p028,B,finfet_14nm,8,1,4,11.4,4.1,1,311.892,470.569,12194,1.61,0.1026,1.61,0.1008,0,0,80,0.96,32.0,20268835
p033,B,finfet_10nm,8,1,4,9.85,-3.9,1,286.786,222.409,10506,1.931,0.0829,0.3,0.0694,0,0,60,0.96,32.0,20260916
