pair_id,set,severity,architecture,source_group,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,secs,pre_x,pre_y
p001,A,0,dram_1x,9120260909,1,741.292,264.317,8.0,-4.95,741.4668007865548,264.9129103496671,8.000533988749895,-5.0,0.9021289944648743,1.840811041998677,741.8818326368928,264.9129103496671
p002,A,0,dram_dense,9120268828,1,488.256,691.25,12.0,0.0,488.78443989157677,691.7544221878052,12.0,-0.12260179800185061,0.9260134100914001,5.4481265420035925,488.687206864357,691.7544221878052
p003,A,0,dram_loose,9120276747,1,467.429,103.187,10.78,4.95,467.78353168442845,103.72293335199356,10.782117728704556,4.954796403996299,0.9510074853897095,2.3714259160042275,468.0490104742348,103.72293335199356
p004,A,0,dram_wide,9120284666,1,909.475,859.538,9.92,0.55,910.51350030303,860.0590121075511,9.944906398723866,0.7698153935018086,0.9477954506874084,2.518808540975442,909.7720968425274,860.0590121075511
p005,A,0,dram_compact,9120292585,1,909.246,615.325,9.41,-4.61,910.0708715766668,615.8946165069938,9.409403898849803,-4.806504495004626,0.9189432859420776,1.8153862500039395,909.8084098547697,615.8946165069938
p006,A,0,dram_legacy,9120300504,1,274.429,172.518,8.05,2.41,275.06804906763136,173.08315861970186,8.05358377300814,2.4269323589958782,0.9343557953834534,2.9396927079942543,275.05033776536584,173.08315861970186
p007,A,0,finfet_7nm,9120308423,1,572.073,589.443,9.98,1.23,571.2576761171222,589.9541851095855,10.052178771471755,1.170436517504837,0.9224228262901306,2.1741134999901988,572.0755948796868,589.9541851095855
p008,A,0,finfet_10nm,9120316342,1,793.335,909.919,10.0,-2.95,793.4590625576675,910.4184632599354,10.044035755486524,-2.932505167995963,0.9359802603721619,2.0027130419912282,794.0193608812988,910.4184632599354
p009,A,0,finfet_14nm,9120324261,1,105.796,232.422,10.66,-1.26,105.72122317552567,232.9086064249277,10.66565734819914,-1.048602470993186,0.9371653199195862,3.5030824579880573,105.79841947555542,232.9086064249277
p010,A,0,finfet_22nm,9120332180,1,288.221,295.859,8.13,2.12,289.3303318605758,296.4567780792713,8.131606064612543,2.0662525839979806,0.9307280778884888,1.929373792023398,288.49712559441105,296.4567780792713
p011,A,0,finfet_28nm,9120340099,1,515.565,204.794,11.37,-0.06,516.5080192908645,205.3425516039133,11.363547383544624,0.13513629149524722,0.9352632164955139,4.333049375010887,516.4220768287778,205.3425516039133
p012,A,0,finfet_45nm,9120348018,1,667.718,699.745,8.44,0.26,668.118849657476,700.2643682956696,8.458554282243302,0.4452035960037013,0.9109563827514648,2.0703670409857295,667.9038715139031,700.2643682956696
p013,A,0,dram_1x,9120355937,1,257.782,544.066,10.51,-1.16,259.32547986507416,544.537746284157,10.518081540542353,-1.3547964039962987,0.9119659066200256,2.352646166982595,258.76414728164673,544.537746284157
p014,A,0,finfet_10nm,9120363856,1,315.837,462.272,8.76,1.82,316.2666712887585,462.7843860387802,8.76047317437663,1.8433402239946162,0.9418318271636963,1.8584663750079926,316.06088622286916,462.7843860387802
p015,A,0,finfet_22nm,9120371775,1,352.892,496.619,10.88,3.6,353.552208147943,497.13409197330475,10.900158946687936,3.5173395510032806,0.941282331943512,2.7731259579886682,353.552208147943,497.13409197330475
p016,A,0,dram_dense,9120379694,1,645.21,695.001,8.22,-1.43,646.2182838618755,695.5493845045567,8.222298567374695,-1.3927277535051732,0.9400711059570312,1.8496423329925165,645.6499688327312,695.5493845045567
p017,A,0,dram_legacy,9120387613,1,738.384,482.824,11.42,-1.28,739.0338661372662,483.3565979897976,11.429504729359424,-1.3147084275039957,0.9418441653251648,4.45372491600574,739.0338661372662,483.3565979897976
p018,A,0,finfet_45nm,9120395532,1,841.767,850.94,10.3,-0.81,842.5799071490765,851.6142309010029,10.306397402753753,-0.9140873035009675,0.8494975566864014,2.620394416997442,842.2560939788818,851.6142309010029
p019,A,0,dram_legacy,9120403451,1,708.004,909.971,11.85,4.21,708.4825546741486,910.5667006894946,11.822934354126442,4.0682625834942385,0.9215120673179626,7.369067499996163,708.4825546741486,910.5667006894946
p020,A,0,dram_loose,9120411370,1,491.447,717.724,11.57,-1.18,492.0323737412691,718.2312811911106,11.567509596893629,-1.170436517504837,0.9066761136054993,3.7622954999969807,492.23040698468685,718.2312811911106
p021,A,0,dram_dense,9120419289,1,580.538,857.367,9.89,3.25,581.1276624426246,857.9087700769305,9.885440183192015,3.013155617496425,0.9338912963867188,2.3017506250180304,581.0411919653416,857.9087700769305
p022,A,0,finfet_10nm,9120427208,1,455.523,737.636,11.86,1.0,455.8121327459812,738.1140809431672,11.804356347057343,0.6852915724960041,0.8124401569366455,5.634142875001999,456.72115448117256,738.1140809431672
p023,A,0,dram_compact,9120435127,1,908.752,894.017,9.24,-2.76,909.4785538986325,894.4659989476204,9.317707898648306,-2.822291236000337,0.9184412360191345,2.279637958010426,909.5850101485848,894.4659989476204
p024,A,0,finfet_22nm,9120443046,1,473.824,872.046,11.51,0.29,474.65842474251986,872.5826289132237,11.52900696480564,0.04721359549995796,0.9201364517211914,3.0741470420034602,474.39246068149805,872.5826289132237
p025,A,0,dram_legacy,9120450965,1,910.021,421.219,11.92,4.88,910.4867374897003,421.8027195930481,11.869900900193096,4.7537914042481715,0.8584920167922974,5.794399374979548,910.0940616428852,421.8027195930481
p026,A,0,dram_dense,9120458884,1,205.652,498.88,10.61,-2.49,206.43356532603502,499.3793894723058,10.597951180253554,-2.4832815729997475,0.9151560068130493,2.9749948749959003,206.38973668962717,499.3793894723058
p027,A,0,finfet_14nm,9120466803,1,625.023,314.271,8.3,4.66,624.9622542858124,314.74560928344727,8.28830249748972,4.718728426496509,0.9269967675209045,2.2187437909888104,625.5735509693623,314.74560928344727
p028,A,0,dram_legacy,9120474722,1,833.024,523.901,9.88,4.67,833.3252051919699,524.460219450295,9.82908050694316,4.684286572747875,0.9299559593200684,2.269938416982768,833.5749361515045,524.460219450295
p029,A,0,finfet_14nm,9120482641,1,632.941,313.918,8.99,1.54,633.2031761556864,314.4380334727466,8.933905064662918,1.4826604489967192,0.9235342741012573,1.9886024169973098,633.3071226477623,314.4380334727466
p030,A,0,finfet_7nm,9120490560,1,764.664,214.263,10.7,4.13,765.4177785366774,214.71797704696655,10.678568308034597,4.133126291998991,0.9210843443870544,2.3939544589957222,765.4177785366774,214.71797704696655
p031,A,0,finfet_22nm,9120498479,1,241.344,166.999,10.26,-3.56,240.14868544088677,167.54341128095984,10.253181073024935,-3.771825392998065,0.8649537563323975,2.6933342089760117,241.15212485194206,167.54341128095984
p032,A,0,finfet_45nm,9120506398,1,272.925,526.671,9.19,-4.89,273.2250909358263,527.2381907403469,9.16673535526824,-4.754028652506099,0.8967871069908142,6.999819624994416,273.3150584548712,527.2381907403469
p033,A,0,dram_dense,9120514317,1,288.327,641.632,8.86,4.09,288.57914657890797,642.1169685199857,8.864534054856856,4.18947550600286,0.9356689453125,2.2695429580053315,288.800565674901,642.1169685199857
p034,A,0,dram_legacy,9120522236,1,882.611,823.99,10.64,0.02,883.4810954034328,824.5052921241149,10.633594298379657,0.011145618000168167,0.9358223080635071,2.2318268330127466,883.2180497944355,824.5052921241149
p035,A,0,finfet_10nm,9120530155,1,311.504,704.931,8.1,1.49,312.0857919380069,705.5139525327832,8.09229646712283,1.358048651498612,0.9142528772354126,2.7263964579906315,312.1803090572357,705.5139525327832
p036,A,0,dram_dense,9120538074,1,563.722,809.669,9.83,4.69,564.6191062033176,810.252119332552,9.82349626820586,4.554412528251199,0.8843501210212708,2.8098121659713797,563.8181730955839,810.252119332552
p037,A,0,finfet_22nm,9120545993,1,868.954,569.097,10.01,-2.99,868.572865029797,569.6144965142012,10.038578109209968,-3.0334368540005046,0.9308728575706482,3.2762726670189295,869.5635613799095,569.6144965142012
p038,A,0,dram_dense,9120553912,1,671.173,293.453,8.04,-1.99,671.5466139614582,293.95982483401895,8.05583635402569,-2.1003105620015137,0.9514384865760803,2.911093542003073,671.2522218227386,293.95982483401895
p039,A,0,dram_legacy,9120561831,1,234.005,808.132,10.73,2.51,234.54641554690897,808.6384083032608,10.772277871278657,2.4492235949962144,0.8582305312156677,4.205301040987251,234.4692080859095,808.6384083032608
p040,A,0,dram_legacy,9120569750,1,909.307,600.609,8.79,3.81,910.6759382858872,601.0848447531462,8.785501634522706,3.8433402239946166,0.919076681137085,1.8792507500038482,909.9152852520347,601.0848447531462
p041,A,0,finfet_22nm,9120577669,1,190.739,461.488,11.55,2.91,191.8963364213705,462.21185207366943,11.514337255410961,3.1284851690034485,0.8487126231193542,2.8085277499922086,191.64384289085865,462.21185207366943
p042,A,0,dram_legacy,9120585588,1,212.845,232.506,11.16,4.44,213.10520400851965,232.95652753859758,11.076772775350518,4.247834719502987,0.9199709892272949,2.918017582996981,212.9059041067958,232.95652753859758
p043,A,0,dram_dense,9120593507,1,244.307,297.955,9.67,-0.53,244.04737907787785,298.5079414770007,9.749786704961798,-0.683902697002776,0.9296118021011353,2.406373165984405,244.3232640028,298.5079414770007
p044,A,0,finfet_22nm,9120601426,1,909.554,889.156,9.87,-2.48,909.826149970293,889.7559713125229,9.860127025136427,-2.4950483150029443,0.9073656797409058,2.455638374987757,909.5669049322605,889.7559713125229
p045,A,0,dram_1x,9120609345,1,647.457,313.758,8.81,0.95,647.890677832067,314.1241537630558,8.801930856687095,1.1108350559986544,0.8943313956260681,2.1726586669974495,647.890677832067,314.1241537630558
p046,A,0,dram_wide,9120617264,1,764.237,219.967,10.7,-2.58,764.8427394479513,220.1981808692217,10.70153478799429,-1.9331262919989902,0.9035537242889404,5.141515041992534,764.6273533403873,220.1981808692217
p047,A,0,finfet_10nm,9120625183,1,511.058,224.89,10.79,3.28,511.08311372995377,225.4310991615057,10.740061679724624,3.069504831500294,0.8801227807998657,2.6400849999918137,511.36667293310165,225.4310991615057
p048,A,0,finfet_45nm,9120633102,1,814.002,543.207,10.52,-2.75,814.2240148186684,543.7654523253441,10.5107081330031,-2.663000336495668,0.9187637567520142,2.5308979580004234,814.1024053916335,543.7654523253441
p049,A,0,finfet_22nm,9120641021,1,264.923,106.629,10.26,-4.53,265.7006825953722,107.1628030538559,10.263155948031233,-4.573067641004122,0.8626583218574524,2.63966533401981,265.83690406382084,107.1628030538559
p050,A,0,dram_wide,9120648940,1,594.972,284.261,9.7,0.87,595.0879329442978,284.7486675530672,9.691973342624465,0.8295634824951629,0.940508246421814,2.282897957979003,595.35483238101,284.7486675530672
