pair_id,set,severity,architecture,source_group,gt_found,gt_x,gt_y,gt_scale,gt_rot,x,y,scale,theta,score,secs,pre_x,pre_y,refiner_secs
p001,A,0,dram_1x,9120260909,1,741.292,264.317,8.0,-4.95,741.484020229429,264.9129103496671,8.000533988749895,-5.0,0.9021289944648743,1.840811041998677,741.8818326368928,264.9129103496671,0.006228666024981067
p002,A,0,dram_dense,9120268828,1,488.256,691.25,12.0,0.0,488.7786289122887,691.7544221878052,12.0,-0.12260179800185061,0.9260134100914001,5.4481265420035925,488.687206864357,691.7544221878052,0.010090625000884756
p003,A,0,dram_loose,9120276747,1,467.429,103.187,10.78,4.95,468.0093535222113,103.72293335199356,10.782117728704556,4.954796403996299,0.9510074853897095,2.3714259160042275,468.0490104742348,103.72293335199356,0.010396875004516914
p004,A,0,dram_wide,9120284666,1,909.475,859.538,9.92,0.55,910.5097899415996,860.0590121075511,9.944906398723866,0.7698153935018086,0.9477954506874084,2.518808540975442,909.7720968425274,860.0590121075511,0.011915500013856217
p005,A,0,dram_compact,9120292585,1,909.246,615.325,9.41,-4.61,910.0923106502742,615.8946165069938,9.409403898849803,-4.806504495004626,0.9189432859420776,1.8153862500039395,909.8084098547697,615.8946165069938,0.011058749980293214
p006,A,0,dram_legacy,9120300504,1,274.429,172.518,8.05,2.41,275.098391758278,173.08315861970186,8.05358377300814,2.4269323589958782,0.9343557953834534,2.9396927079942543,275.05033776536584,173.08315861970186,0.0041237910045310855
p007,A,0,finfet_7nm,9120308423,1,572.073,589.443,9.98,1.23,571.2726814718917,589.9541851095855,10.052178771471755,1.170436517504837,0.9224228262901306,2.1741134999901988,572.0755948796868,589.9541851095855,0.0033381249813828617
p008,A,0,finfet_10nm,9120316342,1,793.335,909.919,10.0,-2.95,793.7443006150424,910.4184632599354,10.044035755486524,-2.932505167995963,0.9359802603721619,2.0027130419912282,794.0193608812988,910.4184632599354,0.0032001250074245036
p009,A,0,finfet_14nm,9120324261,1,105.796,232.422,10.66,-1.26,105.48484508693218,232.9086064249277,10.66565734819914,-1.048602470993186,0.9371653199195862,3.5030824579880573,105.79841947555542,232.9086064249277,0.010368959017796442
p010,A,0,finfet_22nm,9120332180,1,288.221,295.859,8.13,2.12,288.90712568024173,296.4567780792713,8.131606064612543,2.0662525839979806,0.9307280778884888,1.929373792023398,288.49712559441105,296.4567780792713,0.01169258399750106
p011,A,0,finfet_28nm,9120340099,1,515.565,204.794,11.37,-0.06,516.0847679898143,205.3425516039133,11.363547383544624,0.13513629149524722,0.9352632164955139,4.333049375010887,516.4220768287778,205.3425516039133,0.010564333002548665
p012,A,0,finfet_45nm,9120348018,1,667.718,699.745,8.44,0.26,668.1259694290347,700.2643682956696,8.458554282243302,0.4452035960037013,0.9109563827514648,2.0703670409857295,667.9038715139031,700.2643682956696,0.011442374991020188
p013,A,0,dram_1x,9120355937,1,257.782,544.066,10.51,-1.16,259.2614298388362,544.537746284157,10.518081540542353,-1.3547964039962987,0.9119659066200256,2.352646166982595,258.76414728164673,544.537746284157,0.00910674998885952
p014,A,0,finfet_10nm,9120363856,1,315.837,462.272,8.76,1.82,315.96999867632985,462.7843860387802,8.76047317437663,1.8433402239946162,0.9418318271636963,1.8584663750079926,316.06088622286916,462.7843860387802,0.01120400000945665
p015,A,0,finfet_22nm,9120371775,1,352.892,496.619,10.88,3.6,353.7599447146058,497.13409197330475,10.900158946687936,3.5173395510032806,0.941282331943512,2.7731259579886682,353.552208147943,497.13409197330475,0.010398749989690259
p016,A,0,dram_dense,9120379694,1,645.21,695.001,8.22,-1.43,646.2005871180445,695.5493845045567,8.222298567374695,-1.3927277535051732,0.9400711059570312,1.8496423329925165,645.6499688327312,695.5493845045567,0.01156625000294298
p017,A,0,dram_legacy,9120387613,1,738.384,482.824,11.42,-1.28,739.5181750655174,483.3565979897976,11.429504729359424,-1.3147084275039957,0.9418441653251648,4.45372491600574,739.0338661372662,483.3565979897976,0.010942791006527841
p018,A,0,finfet_45nm,9120395532,1,841.767,850.94,10.3,-0.81,842.5793273575837,851.6142309010029,10.306397402753753,-0.9140873035009675,0.8494975566864014,2.620394416997442,842.2560939788818,851.6142309010029,0.00947362498845905
p019,A,0,dram_legacy,9120403451,1,708.004,909.971,11.85,4.21,708.5056038834155,910.5667006894946,11.822934354126442,4.0682625834942385,0.9215120673179626,7.369067499996163,708.4825546741486,910.5667006894946,0.01433379200170748
p020,A,0,dram_loose,9120411370,1,491.447,717.724,11.57,-1.18,492.0282720485702,718.2312811911106,11.567509596893629,-1.170436517504837,0.9066761136054993,3.7622954999969807,492.23040698468685,718.2312811911106,0.010327459021937102
p021,A,0,dram_dense,9120419289,1,580.538,857.367,9.89,3.25,581.069659050554,857.9087700769305,9.885440183192015,3.013155617496425,0.9338912963867188,2.3017506250180304,581.0411919653416,857.9087700769305,0.007885875005740672
