pair_id,present,x,y,theta,scale
A01,1,288.10790175125516,532.9100042525548,-5.0,8.0
A02,1,208.9979223009586,948.1037160526374,5.0,12.0
A03,1,877.8584942102432,940.8,0.0,10.0
A04,1,703.1145830166805,328.0610687768422,4.0,11.5
A05,1,504.0478585057339,899.2800539468792,5.0,12.0
A06,1,948.8233448266983,553.6,0.0,10.0
A07,1,499.73518330558863,226.25117151973765,3.0,10.5
A08,1,661.8649937955507,458.17371515119703,4.0,11.5
B01,1,884.2283660732392,413.37854161443283,-4.0,8.0
B02,1,400.4584444923084,728.0357076018097,-1.0,9.0
B03,1,623.9605614287748,923.4557186936877,0.0,10.0
B04,1,134.89172440081182,415.99849367353676,1.0,11.0
B05,1,263.53123018897406,314.19767466333985,4.0,11.5
B06,1,194.0031732833839,636.9953329239803,5.0,12.0
C01,0,0.0,0.0,0.0,0.0
C02,0,0.0,0.0,0.0,0.0
C03,0,0.0,0.0,0.0,0.0
C04,0,0.0,0.0,0.0,0.0
D01,1,858.0869109153748,950.0,0.0,10.0
D02,1,817.1031489115171,930.7381271129109,-2.0,9.5
