pair_id,set_name,present,preset,family,architecture,reference_path,search_path,gt_x,gt_y,gt_x_raw,gt_y_raw,label_shift_px,magnification,rotation_deg,severity_level,severity_continuous,edge_brightening,noise_profile,sample_seed,verify_attempts,description
A01,A,1,dram_1x,dram,dram_1x,reference/A01.png,search/A01.png,288.10790175125516,532.9100042525548,288.0700372412852,532.9100042525548,0.03786450996994972,8.0,-5.0,0,0.0,0.0,default,14883969178077074889,5,nominal pose lower endpoint
A02,A,1,dram_dense,dram,dram_dense,reference/A02.png,search/A02.png,208.9979223009586,948.1037160526374,210.4568029638767,948.1037160526374,1.4588806629180908,12.0,5.0,0,0.0,0.0,default,13052677531479061418,2,nominal pose upper endpoint
A03,A,1,dram_loose,dram,dram_loose,reference/A03.png,search/A03.png,877.8584942102432,940.8,878.8,940.8,0.9415057897567749,10.0,0.0,0,0.0,0.0,default,14796856104100865846,10,nominal pose zero rotation
A04,A,1,dram_wide,dram,dram_wide,reference/A04.png,search/A04.png,703.1145830166805,328.0610687768422,702.5025713456142,328.0610687768422,0.6120116710662842,11.5,4.0,0,0.0,0.0,default,15246780578862835461,6,nominal pose periodic-ambiguity stress
A05,A,1,finfet_10nm,finfet,finfet_10nm,reference/A05.png,search/A05.png,504.0478585057339,899.2800539468792,505.5745525651059,899.2800539468792,1.5266940593719482,12.0,5.0,0,0.0,0.0,default,15246657250962736397,4,nominal pose periodic-ambiguity stress
A06,A,1,finfet_7nm,finfet,finfet_7nm,reference/A06.png,search/A06.png,948.8233448266983,553.6,950.0,553.6,1.1766551733016968,10.0,0.0,0,0.0,0.0,default,2862811618817778987,7,nominal pose periodic-ambiguity stress
A07,A,1,finfet_14nm,finfet,finfet_14nm,reference/A07.png,search/A07.png,499.73518330558863,226.25117151973765,500.72426236375895,226.25117151973765,0.9890790581703186,10.5,3.0,0,0.0,0.0,default,17685300750082670444,7,
A08,A,1,dram_wide,dram,dram_wide,reference/A08.png,search/A08.png,661.8649937955507,458.17371515119703,663.0478784886965,458.17371515119703,1.182884693145752,11.5,4.0,0,0.0,0.0,default,11903328529660830070,1,nominal pose periodic-ambiguity stress
B01,B,1,dram_compact,dram,dram_compact,reference/B01.png,search/B01.png,884.2283660732392,413.37854161443283,886.514563494748,412.87918309530846,2.3400977716189217,8.0,-4.0,1,0.2500006173563317,0.0,randomized,7952040661854004628,6,Set-B severity 1
B02,B,1,dram_legacy,dram,dram_legacy,reference/B02.png,search/B02.png,400.4584444923084,728.0357076018097,404.02418955704115,726.9160851619359,3.737391105374835,9.0,-1.0,2,0.5000001118196947,0.0,randomized,9818150647628045797,4,Set-B severity 2
B03,B,1,finfet_28nm,finfet,finfet_28nm,reference/B03.png,search/B03.png,623.9605614287748,923.4557186936877,626.5,923.3,2.5442084365456763,10.0,0.0,2,0.5000002171802307,0.0,randomized,16537299350169810081,6,Set-B severity 2
B04,B,1,finfet_45nm,finfet,finfet_45nm,reference/B04.png,search/B04.png,134.89172440081182,415.99849367353676,136.11369025021142,415.88254845661464,1.2274542070586543,11.0,1.0,3,0.7500004507377354,0.0,randomized,2309917386604741253,10,Set-B severity 3
B05,B,1,finfet_28nm,finfet,finfet_28nm,reference/B05.png,search/B05.png,263.53123018897406,314.19767466333985,265.0643550303296,315.23963603607586,1.853686942678102,11.5,4.0,3,0.750000029757483,0.0,randomized,10221112580529931811,6,Set-B severity 3
B06,B,1,finfet_45nm,finfet,finfet_45nm,reference/B06.png,search/B06.png,194.0031732833839,636.9953329239803,199.92556002330153,636.5025043342797,5.942856612436361,12.0,5.0,4,1.0000001234260516,0.0,randomized,3763482183238361261,7,Set-B severity 4
C01,C,0,dram_dense,dram,dram_dense,reference/C01.png,search/C01.png,-1.0,-1.0,-1.0,-1.0,0.0,8.0,-5.0,0,0.0,0.0,default,7475480651238195549,1,
C02,C,0,dram_wide,dram,dram_wide,reference/C02.png,search/C02.png,-1.0,-1.0,-1.0,-1.0,0.0,10.0,0.0,0,0.0,0.0,default,5934107225810070664,1,
C03,C,0,finfet_14nm,finfet,finfet_14nm,reference/C03.png,search/C03.png,-1.0,-1.0,-1.0,-1.0,0.0,11.0,3.0,0,0.0,0.0,default,13848632093863232306,1,
C04,C,0,finfet_22nm,finfet,finfet_22nm,reference/C04.png,search/C04.png,-1.0,-1.0,-1.0,-1.0,0.0,12.0,5.0,0,0.0,0.0,default,10498260800456726019,1,
D01,D,1,dram_loose,dram,dram_loose,reference/D01.png,search/D01.png,858.0869109153748,950.0,859.2,950.0,1.1130890846252441,10.0,0.0,0,0.0,0.3,default,7504198136080556973,1,optical edge response
D02,D,1,finfet_7nm,finfet,finfet_7nm,reference/D02.png,search/D02.png,817.1031489115171,930.7381271129109,818.2121292095594,930.7381271129109,1.1089802980422974,9.5,-2.0,0,0.0,0.4,default,11189922466353177685,3,optical edge response
