pair_id,set_name,reference_path,search_path
A01,A,reference/A01.png,search/A01.png
A02,A,reference/A02.png,search/A02.png
A03,A,reference/A03.png,search/A03.png
A04,A,reference/A04.png,search/A04.png
A05,A,reference/A05.png,search/A05.png
A06,A,reference/A06.png,search/A06.png
A07,A,reference/A07.png,search/A07.png
A08,A,reference/A08.png,search/A08.png
B01,B,reference/B01.png,search/B01.png
B02,B,reference/B02.png,search/B02.png
B03,B,reference/B03.png,search/B03.png
B04,B,reference/B04.png,search/B04.png
B05,B,reference/B05.png,search/B05.png
B06,B,reference/B06.png,search/B06.png
C01,C,reference/C01.png,search/C01.png
C02,C,reference/C02.png,search/C02.png
C03,C,reference/C03.png,search/C03.png
C04,C,reference/C04.png,search/C04.png
D01,D,reference/D01.png,search/D01.png
D02,D,reference/D02.png,search/D02.png
