arm,found,err,secs,score,net_score,s_err,r_err,severity_continuous,drift_jitter_px,speckle_sigma,magnification,rotation_deg
baseline,1,255.10474571509783,2.856959199999892,0.1701678186655044,0.5703276991844177,0.0115199451759462,0.0426778855470704,0.9049141050417846,1.908094858822256,0.3228803189277582,9.49102344049826,1.0655902455504354
baseline,0,,3.3662311999996746,0.0,0.0311666131019592,0.0460007537561727,0.9412721402992988,0.1372226812456656,0.80886616042848,0.1045581258990239,11.411196272952017,2.196379106297112
baseline,1,0.1383718017975789,3.5115192999996907,0.7377294898033142,0.8769279718399048,0.0045431925008002,0.0582267000977445,0.444042055512947,1.4072132703207405,0.1665380677788193,10.018640567257927,-3.311588693404064
baseline,1,0.332977038453332,1.5019553000001906,0.7644484639167786,0.8988329768180847,0.0088052378233359,0.1579666895778025,0.3254010244297363,0.9236018216904408,0.1803233394841164,9.83870914738728,0.0092175804247212
baseline,1,638.6225548875052,3.671534200000224,0.1512843519449234,0.2411620914936065,0.1281738721115498,0.0350644862544688,0.7969857368983793,1.823268589716355,0.2320452601668198,9.176141599903504,0.1557998952416195
baseline,1,0.5147989368558937,4.097364700000071,0.4111833870410919,0.4111833870410919,0.0083643225114124,0.1432310282432367,0.8475004635005042,2.0673265065046924,0.2769098092617813,8.600568014555172,-2.34648327574555
baseline,1,76.94891944049897,2.771114099999977,0.4536987245082855,0.4536987245082855,0.0021303733723529,0.0548822511184469,0.5111714067918112,1.4921886046072814,0.249824436451156,9.319657014881518,0.1568844908847495
baseline,1,419.52256476639855,2.430807799999912,0.2168809026479721,0.2168809026479721,0.184837018760088,0.0458130283282182,0.6025714352565735,1.307436253240531,0.2333487019394527,10.86064881550194,0.326463477828681
baseline,1,4.335544242536506,4.260705000000144,0.4952219724655151,0.8066955804824829,0.001132068988325,0.0704390599949149,0.951755140545479,1.9040428318269236,0.349668635634239,11.74599189563978,1.6520211954999198
baseline,1,1.0203523058449304,3.5941859999998087,0.6093642711639404,0.8632761240005493,0.0140310054367168,0.4546446737128121,0.5900388561449023,1.7786183658552734,0.2564039197967782,9.950697700775716,-0.6487613027112138
