pair_id,present,x,y,theta,scale
p0000,1,923.0000,581.2000,0.0,10.0
p0001,1,570.9000,295.6000,0.0,10.0
p0002,1,749.1000,620.8000,0.0,10.0
p0003,1,708.2000,569.3000,0.0,10.0
p0004,1,152.2000,681.4000,0.0,10.0
p0005,1,881.0000,492.6000,0.0,10.0
p0006,1,340.7000,449.3000,0.0,10.0
p0007,1,135.1000,913.2000,0.0,10.0
p0008,1,167.2000,678.7000,0.0,10.0
p0009,1,878.8000,591.6000,0.0,10.0
p0010,1,759.2000,455.9000,0.0,10.0
p0011,1,204.8000,575.4000,0.0,10.0
p0012,1,375.4000,831.0000,0.0,10.0
p0013,1,215.1000,502.9000,0.0,10.0
p0014,1,853.7000,166.6000,0.0,10.0
p0015,1,538.8000,882.0000,0.0,10.0
p0016,1,147.1000,246.6000,0.0,10.0
p0017,1,874.8000,617.1000,0.0,10.0
p0018,1,165.1000,924.0000,0.0,10.0
p0019,1,149.1000,579.7000,0.0,10.0
p0020,1,722.4000,788.9000,0.0,10.0
p0021,1,766.7000,646.6000,0.0,10.0
p0022,1,647.6000,182.1000,0.0,10.0
p0023,1,872.7000,518.1000,0.0,10.0
p0024,1,175.7000,215.6000,0.0,10.0
p0025,1,464.0000,881.9000,0.0,10.0
p0026,1,362.6000,922.0000,0.0,10.0
p0027,1,141.7000,291.0000,0.0,10.0
p0028,1,852.2000,353.6000,0.0,10.0
p0029,1,159.0000,892.5000,0.0,10.0
p0030,1,540.0000,880.6000,0.0,10.0
p0031,0,0,0,0,0
p0032,1,414.5000,638.6000,0.0,10.0
p0033,1,384.9000,676.7000,0.0,10.0
p0034,1,109.3000,526.4000,0.0,10.0
p0035,1,443.5000,494.6000,0.0,10.0
p0036,1,473.2000,826.4000,0.0,10.0
p0037,1,389.5000,367.6000,0.0,10.0
p0038,0,0,0,0,0
p0039,1,699.5000,567.5000,0.0,10.0
p0040,1,351.6000,270.8000,0.0,10.0
p0041,1,220.6000,923.3000,0.0,10.0
p0042,0,0,0,0,0
p0043,0,0,0,0,0
p0044,1,91.2000,330.5000,0.0,10.0
p0045,1,927.8000,305.7000,0.0,10.0
p0046,1,603.4000,899.7000,0.0,10.0
p0047,1,747.5000,707.3000,0.0,10.0
p0048,1,613.4000,510.6000,0.0,10.0
p0049,1,632.8000,837.0000,0.0,10.0
